,Team,Position,Sacks,Def INT,Fum Rec,Saf,TD,Def 2pt Ret,Def Ret TD,Pts Allow
0,,DEF,3,3,-,1,,-,-,
1,,DEF,4,1,1,-,,-,-,
2,,DEF,5,2,2,-,,-,-,
3,,DEF,7,1,1,1,,-,-,
4,,DEF,4,1,1,-,,-,-,
5,,DEF,4,1,-,-,,-,-,
6,,DEF,4,-,2,-,,-,-,
7,,DEF,4,2,-,-,,-,-,
8,,DEF,-,2,1,-,,-,-,
9,,DEF,2,1,-,-,,-,-,
10,,DEF,1,-,-,-,,-,-,
11,,DEF,1,1,1,-,,-,-,
12,,DEF,2,1,-,-,,-,-,
13,,DEF,2,2,-,-,,-,-,
14,,DEF,3,-,1,-,,-,-,
15,,DEF,3,1,-,-,,-,-,
16,,DEF,3,1,-,-,,-,-,
17,,DEF,3,-,1,-,,-,-,
18,,DEF,4,-,-,-,,-,-,
19,,DEF,2,1,-,-,,-,-,
20,,DEF,1,-,3,-,,-,-,
21,,DEF,-,1,1,-,,-,-,
22,,DEF,1,1,-,-,,-,-,
23,,DEF,3,-,-,-,,-,-,
24,,DEF,1,-,1,-,,-,-,
25,,DEF,-,1,-,-,,-,-,
26,,DEF,1,-,-,-,,-,-,
27,,DEF,1,-,-,-,,-,-,
28,,DEF,1,-,1,-,,-,-,
29,,DEF,-,1,-,-,,-,-,
30,,DEF,1,-,-,-,,-,-,
31,,DEF,1,-,-,-,,-,-,
