,Team,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,,DEF,2,3,1,-,1,-,-,10,20.00
1,,DEF,5,2,1,-,1,-,-,20,18.00
2,,DEF,5,1,-,-,-,-,-,9,11.00
3,,DEF,-,3,-,-,1,-,-,37,8.00
4,,DEF,1,1,-,-,-,-,-,11,7.00
5,,DEF,3,1,-,-,-,-,-,19,6.00
6,,DEF,2,-,2,-,-,-,-,23,6.00
7,,DEF,6,-,-,-,-,-,-,22,6.00
8,,DEF,2,1,1,-,-,-,-,25,6.00
9,,DEF,3,-,1,-,-,-,-,17,6.00
10,,DEF,3,1,-,-,-,-,-,25,5.00
11,,DEF,3,1,2,-,-,-,-,38,5.00
12,,DEF,2,-,1,-,-,-,-,17,5.00
13,,DEF,4,-,-,-,-,-,-,16,5.00
14,,DEF,1,2,-,-,-,-,-,23,5.00
15,,DEF,3,-,1,-,-,-,-,23,5.00
16,,DEF,-,1,-,-,1,-,-,38,4.00
17,,DEF,1,2,-,-,-,-,-,31,4.00
18,,DEF,1,-,1,-,-,-,-,20,4.00
19,,DEF,3,1,-,-,-,-,-,29,4.00
20,,DEF,2,1,-,-,-,-,-,31,3.00
21,,DEF,1,-,1,-,-,-,-,21,3.00
22,,DEF,1,-,-,-,-,-,-,19,2.00
23,,DEF,1,1,-,-,-,-,-,33,2.00
24,,DEF,3,-,-,-,-,-,-,31,2.00
25,,DEF,-,1,-,-,-,-,-,31,1.00
26,,DEF,1,-,-,-,-,-,-,30,0.00
27,,DEF,2,1,-,-,-,-,-,35,0.00
28,,DEF,1,-,-,-,-,-,-,30,0.00
29,,DEF,2,-,-,-,-,-,-,49,-2.00
30,,DEF,-,-,-,-,-,-,-,-,0.00
31,,DEF,-,-,-,-,-,-,-,-,0.00
