,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
16,A.J. Brown,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,1,,,,,6,153,25.5,73,,
56,A.J. Dillon,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,5,11,2.2,5,0,,,,,,
82,A.J. Green,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,0,,,,,7,82,11.7,22,,
157,AJ McCarron,Houston Texans,QB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
120,Aaron Jones,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
179,Aaron Rodgers,Green Bay Packers,QB,,10/25/2020,@Texans,W 35 - 20,23,34,283,8.3,4,0,0,0,132.4,,,,,,,,,,,
98,Adam Humphries,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,0,,,,,1,19,19,19,,
217,Adam Trautman,New Orleans Saints,TE,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,0,,,,,0,0,,,,
168,Adrian Peterson,Detroit Lions,RB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,11,29,2.6,7,0,1,1,1,,,0
34,Alex Bachman,,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
65,Alex Erickson,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
200,Alex Smith,Washington Football Team,QB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
128,Alshon Jeffery,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,
134,Alvin Kamara,New Orleans Saints,RB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,14,83,5.9,32,0,8,65,8.1,,,0
39,Amari Cooper,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,0,1,5,5,5,7,80,11.4,32,0,
181,Andre Roberts,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
63,Andy Dalton,Dallas Cowboys,QB,,10/25/2020,@Football Team,L 3 - 25,9,19,75,3.9,0,1,3,30,36.1,3,16,5.3,,0,,,,,1,0
129,Andy Janovich,Cleveland Browns,RB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,
76,Anthony Firkser,Tennessee Titans,TE,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,0,,,,,2,7,3.5,4,,
