,Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Sacks,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD,Games Played
0,SF,314,204,65.0,7.0,2089,17,92.8,18,271,1070,3.9,7,204,2196,10.8,17,0,0,8,4,4,6,8,0,10
1,CHI,350,214,61.1,6.8,2250,12,85.7,21,287,1151,4.0,6,214,2385,11.1,12,1,0,11,5,4,5,6,0,10
2,CIN,326,204,62.6,7.5,2386,21,96.6,11,240,1198,5.0,7,204,2436,11.9,21,0,0,1,1,1,1,8,0,9
3,BUF,333,226,67.9,7.6,2387,15,96.5,27,280,1350,4.8,15,226,2524,11.2,15,0,0,11,9,4,4,7,0,10
4,DEN,322,214,66.5,6.9,2081,14,93.0,22,263,1159,4.4,10,214,2227,10.4,14,0,0,6,3,3,4,6,0,9
5,CLE,340,227,66.8,7.2,2270,18,96.6,22,237,944,4.0,9,227,2433,10.7,18,0,1,9,7,2,7,7,1,9
6,TB,355,242,68.2,7.0,2237,17,89.8,32,231,766,3.3,8,242,2475,10.2,17,0,1,9,5,2,1,12,1,10
7,ARI,377,247,65.5,6.9,2430,19,93.6,25,269,1247,4.6,6,247,2618,10.6,19,0,0,4,4,1,3,8,0,10
8,LAC,321,203,63.2,6.8,2091,18,96.6,16,224,1057,4.7,8,203,2179,10.7,18,0,0,4,4,1,2,4,1,9
9,KC,308,192,62.3,6.6,1941,11,81.4,19,262,1246,4.8,9,192,2045,10.7,11,0,0,8,5,6,1,9,2,9
10,IND,286,178,62.2,6.8,1788,11,78.9,21,234,826,3.5,7,178,1934,10.9,11,0,2,6,2,1,2,11,3,9
11,DAL,294,182,61.9,7.2,2021,21,103.1,17,285,1413,5.0,11,182,2110,11.6,21,1,0,5,3,1,1,3,0,9
12,MIA,328,206,62.8,7.3,2194,13,87.8,22,244,1153,4.7,11,206,2387,11.6,13,2,0,10,6,2,2,8,0,9
13,PHI,306,205,67.0,7.0,1906,13,97.0,31,275,1197,4.4,14,205,2131,10.4,13,1,1,10,7,2,1,3,1,9
14,ATL,351,238,67.8,8.3,2793,22,105.6,14,207,897,4.3,8,238,2903,12.2,22,0,0,7,3,3,2,7,0,9
15,WSH,264,172,65.2,7.4,1752,14,92.1,28,261,1134,4.3,9,172,1943,11.3,14,0,1,8,1,1,2,8,0,9
16,NYG,362,247,68.2,7.6,2577,15,95.3,25,255,1009,4.0,10,247,2763,11.2,15,1,0,8,7,5,5,8,1,10
17,JAX,302,212,70.2,8.6,2555,19,107.8,9,272,1185,4.4,12,212,2601,12.3,19,0,0,4,2,2,2,7,0,9
18,NYJ,320,232,72.5,8.1,2536,16,103.9,11,267,1088,4.1,12,232,2597,11.2,16,0,0,6,3,1,5,7,1,9
19,DET,321,210,65.4,7.6,2326,17,99.6,13,273,1274,4.7,16,210,2451,11.7,17,0,0,9,3,5,2,5,0,9
20,GB,284,193,68.0,7.6,2026,14,101.1,20,219,997,4.6,11,193,2171,11.2,14,0,1,6,3,2,1,4,1,9
21,CAR,372,257,69.1,7.1,2555,16,97.8,11,261,1245,4.8,14,257,2624,10.2,16,0,0,8,8,3,4,5,0,10
22,NE,245,167,68.2,8.6,2017,14,95.1,13,262,1163,4.4,8,167,2107,12.6,14,1,0,4,4,1,2,11,1,9
23,LV,336,207,61.6,7.3,2384,14,89.0,11,228,1014,4.4,13,207,2445,11.8,14,0,0,5,3,3,1,7,0,9
24,LAR,313,201,64.2,6.4,1797,9,81.0,31,214,871,4.1,7,201,1990,9.9,9,0,0,6,5,0,3,8,0,9
25,BAL,326,209,64.1,6.5,1920,12,89.6,25,219,987,4.5,7,209,2110,10.1,12,3,0,17,10,5,7,4,0,9
26,NO,317,206,65.0,7.1,2083,20,95.1,24,208,691,3.3,5,206,2258,11.0,20,0,0,1,4,0,3,9,1,9
27,SEA,445,310,69.7,8.0,3437,18,98.4,25,251,912,3.6,15,310,3551,11.5,18,0,2,10,6,2,5,9,0,10
28,PIT,308,173,56.2,7.0,1902,15,79.2,36,221,961,4.3,5,173,2144,12.4,15,0,1,8,6,3,4,11,2,9
29,HOU,296,203,68.6,7.8,2175,18,109.0,19,291,1507,5.2,12,203,2298,11.3,18,0,0,4,3,1,0,2,0,9
30,TEN,366,248,67.8,7.1,2497,20,96.0,11,241,1086,4.5,9,248,2586,10.4,20,1,0,9,5,5,6,9,0,9
31,MIN,328,218,66.5,7.6,2411,19,99.7,18,253,1041,4.1,5,218,2507,11.5,19,0,0,8,4,1,4,7,0,9
