,Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD,Games Played
0,SF,260,165,63.5,6.7,1672,12,85.6,210,845,4.0,5,165,1752,10.6,12,0,0,6,2,4,4,8,0,8
1,CHI,293,179,61.1,6.6,1828,8,82.5,223,960,4.3,6,179,1935,10.8,8,1,0,9,4,3,4,5,0,8
2,CIN,280,177,63.2,7.5,2053,17,94.4,220,1154,5.2,7,177,2103,11.9,17,0,0,1,1,1,1,8,0,8
3,BUF,260,176,67.7,7.3,1789,12,97.7,228,1076,4.7,11,176,1889,10.7,12,0,0,8,6,4,3,4,0,8
4,DEN,262,173,66.0,6.8,1656,11,91.6,190,864,4.5,5,173,1789,10.3,11,0,0,6,3,3,4,5,0,7
5,CLE,310,207,66.8,7.3,2117,17,97.1,215,854,4.0,9,207,2270,11.0,17,0,1,9,7,2,7,7,1,8
6,TB,292,193,66.1,7.0,1833,11,83.2,178,563,3.2,6,193,2045,10.6,11,0,1,7,3,1,1,11,1,8
7,ARI,271,171,63.1,6.9,1731,12,89.1,195,918,4.7,4,171,1877,11.0,12,0,0,4,4,1,1,6,0,7
8,LAC,273,175,64.1,6.8,1762,14,94.7,166,786,4.7,5,175,1845,10.5,14,0,0,3,2,1,2,4,1,7
9,KC,258,155,60.1,6.6,1610,9,76.8,238,1142,4.8,7,155,1707,11.0,9,0,0,7,5,5,1,9,2,8
10,IND,236,144,61.0,6.9,1495,10,76.2,164,559,3.4,4,144,1617,11.2,10,0,2,4,1,1,0,11,3,7
11,DAL,249,151,60.6,7.2,1712,18,101.8,267,1367,5.1,11,151,1801,11.9,18,1,0,5,3,1,1,3,0,8
12,MIA,270,165,61.1,7.1,1756,8,81.7,178,876,4.9,9,165,1917,11.6,8,1,0,8,5,2,2,7,0,7
13,PHI,278,184,66.2,6.8,1675,13,96.6,239,1046,4.4,11,184,1887,10.3,13,1,1,10,7,2,1,3,1,8
14,ATL,303,213,70.3,8.5,2491,20,110.0,185,794,4.3,7,213,2590,12.2,20,0,0,6,3,2,2,6,0,8
15,WSH,197,125,63.5,7.4,1301,10,85.7,205,863,4.2,8,125,1455,11.6,10,0,1,7,1,1,1,8,0,7
16,NYG,286,197,68.9,7.6,2022,14,100.1,223,816,3.7,7,197,2168,11.0,14,1,0,6,5,4,3,5,1,8
17,JAX,236,169,71.6,8.5,1973,15,107.6,219,998,4.6,10,169,1995,11.8,15,0,0,1,0,0,0,6,0,7
18,NYJ,285,205,71.9,8.2,2262,16,104.5,226,929,4.1,9,205,2323,11.3,16,0,0,5,3,1,4,7,1,8
19,DET,246,159,64.6,7.5,1739,14,97.6,213,910,4.3,11,159,1841,11.6,14,0,0,7,2,3,2,5,0,7
20,GB,214,153,71.5,8.0,1593,12,109.8,179,833,4.7,10,153,1711,11.2,12,0,1,5,2,2,1,2,1,7
21,CAR,288,199,69.1,6.6,1860,9,90.5,213,999,4.7,12,199,1911,9.6,9,0,0,6,6,1,4,5,0,8
22,NE,186,125,67.2,8.6,1518,9,89.8,216,983,4.6,8,125,1596,12.8,9,1,0,4,4,1,2,9,1,7
23,LV,247,156,63.2,7.5,1825,11,95.9,178,820,4.6,12,156,1862,11.9,11,0,0,2,1,2,0,3,0,7
24,LAR,276,179,64.9,6.3,1577,9,84.2,192,758,3.9,6,179,1742,9.7,9,0,0,6,4,0,2,6,0,8
25,BAL,264,170,64.4,6.6,1558,10,91.1,159,702,4.4,5,170,1741,10.2,10,2,0,15,9,5,6,3,0,7
26,NO,240,160,66.7,7.5,1665,19,108.4,178,634,3.6,5,160,1802,11.3,19,0,0,1,2,0,3,4,1,7
27,SEA,328,223,68.0,7.8,2511,13,93.1,185,715,3.9,9,223,2565,11.5,13,0,1,9,5,2,5,9,0,7
28,PIT,230,131,57.0,7.3,1497,13,80.9,169,678,4.0,5,131,1688,12.9,13,0,1,5,3,1,4,10,2,7
29,HOU,238,165,69.3,7.8,1762,17,114.5,223,1161,5.2,9,165,1862,11.3,17,0,0,3,3,1,0,1,0,7
30,TEN,275,183,66.5,7.1,1881,17,93.9,192,897,4.7,7,183,1943,10.6,17,0,0,7,3,3,6,9,0,7
31,MIN,252,171,67.9,8.2,2011,17,110.5,209,871,4.2,5,171,2078,12.2,17,0,0,7,3,0,4,3,0,7
