,Name,max,min,mean,std,D Pass Yds/Game,D Pass Yds/Att,D Pass TDs/Game,D Rush Yds/Game,D Rush YPC,D Rush TDs/Game
0,Dalvin Cook,27.6,14.1,20.26,5.71,240.33,7.8,1.83,110.0,4.6,1.17
1,Alexander Mattison,15.1,2.1,6.85,5.09,240.33,7.8,1.83,110.0,4.6,1.17
2,Clyde Edwards-Helaire,19.8,9.5,13.93,4.29,259.43,7.9,1.57,125.57,4.3,1.29
3,Darrel Williams,10.6,0.2,3.43,3.72,259.43,7.9,1.57,125.57,4.3,1.29
4,Derrick Henry,39.4,8.4,20.23,11.05,261.43,7.5,2.14,133.71,4.9,0.86
5,Jeremy McNichols,7.2,0.0,2.12,2.81,261.43,7.5,2.14,133.71,4.9,0.86
6,Melvin Gordon,24.8,5.8,14.22,6.98,253.17,6.9,1.83,113.0,4.5,0.67
7,Royce Freeman,4.5,1.7,2.68,1.08,253.17,6.9,1.83,113.0,4.5,0.67
8,Mike Davis,25.4,6.1,15.37,7.17,333.43,8.7,2.71,92.43,4.0,0.86
9,Jonathan Taylor,18.0,8.4,13.15,3.15,248.67,7.4,1.83,131.83,4.5,1.5
10,Nyheim Hines,23.3,0.9,7.7,7.98,248.67,7.4,1.83,131.83,4.5,1.5
11,Jordan Wilkins,5.0,-0.1,2.52,2.36,248.67,7.4,1.83,131.83,4.5,1.5
12,Frank Gore,9.0,2.4,5.36,2.32,211.71,6.9,1.29,149.86,4.9,1.0
13,La'Mical Perine,12.6,1.5,4.74,4.57,211.71,6.9,1.29,149.86,4.9,1.0
14,James White,11.3,0.8,7.05,4.57,232.57,7.3,1.71,126.71,4.6,1.29
15,Rex Burkhead,31.3,1.4,9.08,11.07,232.57,7.3,1.71,126.71,4.6,1.29
16,Josh Jacobs,33.9,4.6,14.77,11.01,288.14,7.5,2.29,92.14,3.8,1.29
17,Devontae Booker,7.2,1.0,4.08,2.73,288.14,7.5,2.29,92.14,3.8,1.29
