,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Predicted
16,NO,DEN,15,4,-3,4,3,10,1,7,16,14,16,7.9,15.3,4800,11.54
5,CLE,JAX,0,4,14,5,13,1,7,3,10,6,20,7.5,12.0,4900,9.38
11,LAR,SF,4,7,4,11,12,0,15,5,10,13,5,7.8,9.3,4500,8.58
17,NYG,CIN,4,9,-2,5,11,14,5,4,13,4,10,7.0,9.0,4300,8.41
7,IND,TEN,4,15,26,7,5,4,10,15,5,8,8,9.7,7.0,4700,8.22
13,MIA,NYJ,4,2,12,3,12,15,10,17,8,4,5,8.4,5.7,5000,7.91
2,BUF,LAC,8,2,5,6,-4,3,14,4,12,6,10,6.0,9.3,4100,7.24
9,KC,TB,7,5,7,20,-1,3,18,7,1,10,1,7.1,4.0,4400,6.27
20,TB,KC,0,14,16,6,6,19,6,7,1,5,4,7.6,3.3,3900,6.11
19,SF,LAR,4,5,12,6,-2,3,17,-2,0,7,10,5.5,5.7,4000,5.62
14,MIN,CAR,-4,4,3,5,6,0,10,3,9,10,2,4.4,7.0,4200,5.13
0,ARI,NE,4,9,4,1,7,15,7,10,2,3,3,5.9,2.7,4000,5.09
21,TEN,IND,3,5,7,10,8,-2,6,-1,14,0,3,4.8,5.7,3500,5.04
15,NE,ARI,11,6,15,4,10,7,4,3,3,5,0,6.2,2.7,3700,4.91
6,DEN,NO,2,5,2,6,10,14,2,5,3,-4,12,5.2,3.7,3800,4.79
3,CAR,MIN,-1,3,11,3,5,2,3,4,3,-1,17,4.5,6.3,3500,4.76
12,LV,ATL,0,2,3,0,4,10,-4,9,4,16,-2,3.8,6.0,3600,4.22
10,LAC,BUF,11,1,2,4,3,10,6,3,2,1,9,4.7,4.0,4100,4.16
18,NYJ,MIA,7,4,0,8,2,6,5,-4,-1,10,6,3.9,5.0,3000,4.1
1,ATL,LV,-1,3,5,0,0,7,2,6,3,10,5,3.6,6.0,3300,3.99
8,JAX,CLE,6,0,0,2,4,1,3,10,4,5,2,3.4,3.7,3400,3.25
4,CIN,NYG,3,-2,7,5,3,4,-2,4,10,-4,5,3.0,3.7,3800,3.21
