,Team,Games,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD,Passing Factor,Rushing Factor,QB Factor
0,49ers,7,223,138,61.9,6.7,1423,8,78.5,182,744,4.1,4,138,1491,10.8,8,0,0,6,2,4,4,8,0,0.7933839153277275,0.7973525373607374,0.7390258067772858
1,Bears,7,252,148,58.7,6.6,1555,6,78.0,193,839,4.3,6,148,1654,11.2,6,1,0,6,4,2,3,5,0,0.7479706551658055,0.9443693453900868,0.761822687307581
2,Bengals,7,250,159,63.6,7.5,1830,15,94.6,191,936,4.9,6,159,1870,11.8,15,0,0,1,1,1,1,7,0,1.100949004545564,1.0293751495864154,1.0872021576401003
3,Bills,7,235,161,68.5,7.3,1628,12,99.5,194,887,4.6,9,161,1715,10.7,12,0,0,7,5,4,2,4,0,0.9726802118910162,1.1202116668899305,0.9936527137030005
4,Broncos,6,218,144,66.1,6.9,1381,8,92.5,152,654,4.3,5,144,1511,10.5,8,0,0,6,3,3,4,3,0,0.870381540702097,0.9010130192036264,0.9062624822728947
5,Browns,7,286,192,67.1,7.5,2017,16,97.9,170,645,3.8,9,192,2159,11.2,16,0,1,8,7,2,6,7,1,1.1574090032929196,0.95359787151023,1.1621504820480437
6,Buccaneers,7,250,167,66.8,7.1,1577,9,84.3,154,462,3.0,5,167,1771,10.6,9,0,1,7,3,1,1,9,1,0.866125420664932,0.636780214795068,0.8064741317667881
7,Cardinals,7,271,171,63.1,6.9,1731,12,89.1,195,918,4.7,4,171,1877,11.0,12,0,0,4,4,1,1,6,0,0.9664647986786006,0.918766622741213,0.9694152097440113
8,Chargers,6,232,149,64.2,6.9,1519,11,94.7,150,678,4.5,4,149,1597,10.7,11,0,0,3,2,1,2,3,1,0.9970255780069343,0.8753531776197092,1.0441117534615296
9,Chiefs,7,228,137,60.1,6.9,1482,9,77.6,213,1049,4.9,7,137,1574,11.5,9,0,0,6,4,4,1,9,2,0.8419508186330954,1.127330763248524,0.7738696270553714
10,Colts,6,194,120,61.9,6.6,1198,7,71.7,151,530,3.5,4,120,1281,10.7,7,0,2,2,0,1,0,10,2,0.789412402097365,0.7284756542661878,0.672575992920073
11,Cowboys,7,221,135,61.1,7.6,1609,16,106.7,241,1248,5.2,11,135,1669,12.4,16,1,0,2,1,1,0,1,0,1.1039947966885375,1.419096421592263,1.1623527823593072
12,Dolphins,6,209,130,62.2,7.5,1416,7,86.3,149,745,5.0,8,130,1562,12.0,7,0,0,6,3,2,2,5,0,0.8732965135759788,1.1527150899692906,0.8716619770156433
13,Eagles,7,238,163,68.5,7.2,1543,13,102.0,204,913,4.5,11,163,1707,10.5,13,0,0,8,5,2,1,3,1,0.9847695101476839,1.2150324589993622,1.0121399845721384
14,Falcons,7,276,197,71.4,8.7,2334,19,113.4,163,647,4.0,6,197,2411,12.2,19,0,0,6,3,2,2,5,0,1.3547823258798493,0.8340146465396492,1.4102451031654732
15,FootballTeam,7,197,125,63.5,7.4,1301,10,85.7,205,863,4.2,8,125,1455,11.6,10,0,1,7,1,1,1,8,0,0.8717756147452416,1.0382444678583715,0.7940751369318636
16,Giants,7,246,169,68.7,7.7,1759,12,99.1,199,735,3.7,7,169,1889,11.2,12,1,0,5,4,3,3,5,1,1.0125451372508525,0.9005789763870666,1.027516559746005
17,Jaguars,7,236,169,71.6,8.5,1973,15,107.6,219,998,4.6,10,169,1995,11.8,15,0,0,1,0,0,0,6,0,1.1740799718289194,1.2172216109108924,1.1829523837512474
