,Name,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks),Salary
0,A.J. Brown,6.4,0.0,0.0,0.0,17.7,12.0,17.7,6500
1,A.J. Dillon,1.4,1.7,0.0,0.3,0.0,1.1,0.3,
2,A.J. Green,7.6,4.4,6.1,0.8,0.0,4.7,3.4,5200
3,AJ McCarron,0.0,0.0,0.0,0.0,0.0,,,6000
4,Aaron Jones,15.6,43.6,15.6,19.6,0.0,23.6,17.6,8500
5,Aaron Rodgers,30.8,18.7,24.5,29.6,0.0,25.9,27.0,8400
6,Adam Humphries,7.7,13.3,6.1,0.0,0.0,9.0,6.1,4700
7,Adam Shaheen,0.0,0.9,0.0,0.0,6.8,3.8,6.8,4200
8,Adam Thielen,28.0,4.6,10.8,22.2,24.8,18.1,19.3,7400
9,Adrian Peterson,12.9,4.1,9.0,9.6,0.0,8.9,9.3,5500
10,Albert Okwuegbunam,0.0,0.0,0.0,0.0,0.0,,,4500
11,Albert Wilson,0.0,0.0,0.0,0.0,0.0,,,4500
12,Alex Armah,0.1,1.9,0.0,0.2,0.2,0.6,0.2,4500
13,Alex Erickson,0.0,0.0,0.0,2.1,0.0,2.1,2.1,4600
14,Alex McGough,0.0,0.0,0.0,0.0,0.0,,,6000
15,Alexander Mattison,10.0,2.1,2.7,7.7,15.1,7.5,8.5,7000
16,Allen Hurns,0.0,0.0,0.0,0.0,0.0,,,4500
17,Allen Lazard,16.2,6.0,23.4,0.0,0.0,15.2,23.4,5000
18,Allen Robinson,9.8,4.8,23.3,19.6,14.0,14.3,19.0,
19,Alshon Jeffery,0.0,0.0,0.0,0.0,0.0,,,4800
20,Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,,,4500
21,Andrew Beck,0.0,0.0,0.0,0.0,0.0,,,4000
22,Andy Janovich,0.0,0.5,1.8,0.0,0.4,0.9,1.1,4500
23,Anthony Firkser,1.5,6.5,0.0,0.0,3.4,3.8,3.4,4400
24,Anthony Johnson,0.0,0.0,0.0,0.0,0.0,,,4500
25,Anthony McFarland,0.0,0.0,5.4,0.0,0.6,3.0,3.0,
26,Anthony Miller,15.6,0.0,12.0,3.1,4.8,8.9,6.6,5200
27,Antoine Wesley,0.0,0.0,0.0,0.0,0.0,,,4500
28,Antony Auclair,0.0,0.0,0.0,0.0,0.0,,,4000
29,Artavis Pierce,0.0,0.0,0.0,0.0,0.0,,,
30,Ashton Dulin,0.0,1.1,0.0,0.0,4.2,2.7,4.2,4500
31,Auden Tate,0.0,0.0,3.9,2.0,1.7,2.5,2.5,4700
32,Austin Fort,0.0,0.0,0.0,0.0,0.0,,,
33,Austin Hooper,2.5,3.2,4.0,11.9,8.2,6.0,8.0,5200
34,Austin Mack,0.0,0.0,0.0,0.0,0.0,,,4500
35,Baker Mayfield,10.9,16.3,14.3,15.2,17.6,14.9,15.7,7000
36,Ben Roethlisberger,22.1,19.2,19.2,0.0,21.4,20.5,20.3,7600
37,Benny Snell,11.3,0.6,1.1,0.0,1.9,3.7,1.5,
38,Bisi Johnson,7.1,2.9,0.0,0.0,1.8,3.9,1.8,
39,Blaine Gabbert,0.0,0.0,0.0,0.0,0.0,,,6000
