,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
Tyler Lockett,SEA,13.2,16.2,32.5,4.9,6.4,,45.5
Davante Adams,GB,34.6,5.1,,,,9.1,38.1
Justin Herbert,LAC,,23.24,15.7,24.0,27.36,,
Joe Burrow,CIN,17.32,24.54,20.38,16.1,5.32,17.72,34.64
Jeff Wilson,SF,,0.3,20.4,2.4,2.7,,31.0
Russell Wilson,SEA,31.78,34.42,34.8,21.9,25.48,,32.92
Baker Mayfield,CLE,10.86,16.26,14.34,15.2,17.58,7.26,30.78
Diontae Johnson,PIT,6.7,19.2,0.9,,0.3,,24.5
Tyler Boyd,CIN,5.3,16.7,17.5,12.9,6.2,10.4,21.6
Aaron Rodgers,GB,30.76,18.8,24.52,29.58,,5.8,27.32
A.J. Brown,TEN,6.4,,,,17.7,20.3,24.3
Drew Brees,NO,14.4,15.48,23.52,16.54,22.1,,23.68
Alvin Kamara,NO,21.2,33.9,38.2,19.4,15.9,,18.8
Keenan Allen,LAC,5.7,13.1,23.7,10.2,9.9,,
Cole Beasley,BUF,7.8,9.5,13.0,10.7,8.3,12.5,16.7
Nelson Agholor,LV,8.8,2.4,4.2,12.4,13.7,,19.2
Harrison Bryant,CLE,1.0,1.9,6.8,5.7,0.0,1.6,19.6
Jamaal Williams,GB,6.2,6.3,2.2,14.5,,3.4,19.4
Giovani Bernard,CIN,4.8,5.0,7.0,1.9,0.9,10.3,18.1
Derek Carr,LV,13.56,21.66,15.44,20.44,24.98,,20.26
Kareem Hunt,CLE,10.1,23.1,13.4,19.1,16.8,6.7,17.7
Tee Higgins,CIN,,5.0,18.5,11.0,8.2,15.7,16.3
Matthew Stafford,DET,17.18,17.16,18.5,21.34,,13.32,18.4
Brandon Aiyuk,SF,,3.1,18.6,12.6,5.9,8.2,14.5
Tyreek Hill,KC,13.1,19.3,18.7,14.4,16.8,4.0,14.5
JuJu Smith-Schuster,PIT,21.9,8.3,12.3,,4.8,1.6,13.0
Kenny Golladay,DET,,,14.7,14.2,,12.5,14.4
Ryan Tannehill,TEN,19.36,26.76,12.74,,30.0,27.64,17.3
Rashard Higgins,CLE,1.4,,,,10.6,7.8,14.0
Darren Waller,LV,7.5,22.5,1.9,11.3,13.3,,14.0
Jared Goff,LAR,11.5,23.98,26.24,11.7,25.36,15.92,16.9
T.J. Hockenson,DET,14.1,8.2,7.3,7.9,,8.7,14.4
Carlos Hyde,SEA,8.3,4.7,2.8,,,,15.1
Jalen Guyton,LAC,2.1,7.9,3.3,13.7,5.0,,
Josh Allen,BUF,28.18,34.5,32.24,25.42,18.32,16.08,16.38
Marquez Callaway,NO,,,,2.1,5.4,,11.5
Corey Davis,TEN,13.6,11.1,9.4,,,,12.5
A.J. Green,CIN,7.6,4.4,6.1,0.8,0.0,13.6,11.7
Derrick Henry,TEN,14.6,8.4,26.0,,18.8,39.4,14.2
Josh Reynolds,LAR,2.2,4.3,6.0,4.0,5.6,11.5,13.2
D'Andre Swift,DET,9.8,9.7,2.4,13.2,,25.8,12.8
Deonte Harris,NO,3.1,4.9,1.5,2.5,,,12.6
Donovan Peoples-Jones,CLE,,,,,,0.0,13.1
James Conner,PIT,2.7,19.1,22.9,,13.8,16.7,12.6
La'Mical Perine,NYJ,,1.7,3.3,1.5,,4.6,12.6
Clyde Edwards-Helaire,KC,19.8,10.0,15.9,10.6,9.5,18.9,12.8
Marvin Jones,DET,7.5,10.3,6.6,1.4,,1.8,10.5
Albert Okwuegbunam,DEN,,,,,,5.5,9.5
Drew Lock,DEN,13.14,-1.2,,,,5.46,14.96
Gerald Everett,LAR,1.2,,4.4,5.7,11.0,4.2,10.8
Ben Roethlisberger,PIT,22.06,19.24,17.18,,21.36,10.98,15.62
Jared Cook,NO,10.5,8.3,3.1,,12.2,,10.7
Deebo Samuel,SF,,,,6.0,3.2,15.0,9.7
Melvin Gordon,DEN,14.1,15.4,5.8,24.8,,,11.0
Patrick Mahomes,KC,20.44,25.48,40.0,20.24,28.7,20.6,12.0
Cooper Kupp,LAR,6.0,10.5,21.2,15.2,9.1,2.6,8.9
David Montgomery,CHI,7.9,20.2,6.4,7.2,15.4,11.7,9.4
Malcolm Brown,LAR,24.5,4.7,1.9,8.2,2.9,3.7,11.7
Eric Ebron,PIT,2.3,5.8,13.7,,4.8,1.9,8.0
Allen Robinson,CHI,9.8,4.8,23.3,19.6,14.0,7.8,9.0
Jarvis Landry,CLE,8.6,6.1,5.6,7.3,10.8,5.5,7.7
Stefon Diggs,BUF,12.6,25.3,12.9,14.5,15.6,13.6,7.8
Kyle Juszczyk,SF,,,,,,,
Justin Jackson,LAC,0.4,,,3.1,11.9,,
George Kittle,SF,7.3,,,32.6,6.4,20.4,8.0
Tyler Kroft,BUF,,,16.4,1.7,,1.2,8.4
Joshua Kelley,LAC,12.0,12.3,4.2,2.8,4.3,,
Jakobi Meyers,NE,,1.2,,,,,8.2
Zack Moss,BUF,10.2,3.7,,,,1.0,8.7
Drew Sample,CIN,1.2,8.0,0.6,6.2,3.2,0.0,7.7
David Njoku,CLE,12.5,,,,1.1,1.2,9.0
Virgil Green,LAC,1.5,,0.0,,1.9,,
Darrell Henderson,LAR,0.6,19.1,18.5,4.2,20.3,9.2,8.6
Tre'Quan Smith,NO,0.9,11.1,6.2,19.4,1.8,,7.4
Danny Amendola,DET,10.6,3.1,2.3,6.7,,4.1,7.7
Donald Parham,LAC,,,,8.4,0.0,,
Mecole Hardman,KC,1.1,4.3,16.1,10.7,6.0,0.0,8.0
David Moore,SEA,5.5,12.3,0.7,17.0,0.0,,7.3
Malik Taylor,GB,,,,2.5,,0.0,7.6
JaMycal Hasty,SF,,,2.3,,,3.7,7.8
Denzel Mims,NYJ,,,,,,,6.2
Hunter Renfrow,LV,3.1,5.2,17.4,8.2,4.7,,6.2
Jimmy Graham,CHI,10.0,2.3,21.0,5.3,10.8,5.9,5.6
Damien Harris,NE,,,,10.0,,3.8,7.5
Phillip Lindsay,DEN,4.0,,,,,10.1,7.9
Johnny Mundt,LAR,,,,1.0,,,6.3
Rex Burkhead,NE,3.2,6.9,31.3,5.5,,1.4,6.2
Braxton Berrios,NYJ,,14.9,14.4,0.0,1.3,2.3,5.5
Jimmy Garoppolo,SF,19.26,13.24,,,1.08,23.52,9.48
Tim Patrick,DEN,4.9,3.4,12.3,20.3,,12.1,5.9
Joe Reed,LAC,,0.8,,,,,
Mike Thomas,CIN,2.7,11.1,1.9,1.0,-0.8,1.5,6.4
Jace Sternberger,GB,0.0,0.0,5.1,,,,6.8
Darnell Mooney,CHI,5.3,11.1,2.9,7.4,2.5,5.1,5.5
Noah Fant,DEN,16.6,13.7,7.1,6.0,,,5.3
Devin Singletary,BUF,7.8,8.6,14.1,16.2,3.8,5.0,5.7
Latavius Murray,NO,4.8,4.3,7.0,20.8,6.7,,6.1
Cole Kmet,CHI,0.0,1.7,,0.0,,9.0,5.5
Henry Ruggs III,LV,8.1,0.9,,,18.8,,5.5
Nick Foles,CHI,,,18.22,12.86,12.62,17.32,8.44
Chad Henne,KC,,,,,,,6.32
Benny Snell,PIT,11.3,-1.4,1.1,,1.9,8.6,6.2
Josh Jacobs,LV,33.9,12.0,7.8,8.8,21.5,,4.6
Travis Kelce,KC,14.0,19.5,11.7,8.5,20.8,19.0,4.6
Frank Gore,NYJ,2.4,6.3,6.7,4.1,3.0,9.0,6.0
Byron Pringle,KC,,,,,2.8,5.6,
Will Dissly,SEA,1.8,1.4,1.5,2.5,8.4,,4.8
Robert Woods,LAR,14.9,10.3,18.9,6.8,15.1,12.0,4.0
K.J. Hamler,DEN,,7.2,4.3,,,,4.4
Hunter Henry,LAC,9.8,11.3,7.5,4.9,10.3,,
Jacob Hollister,SEA,1.4,,6.6,,,,3.7
Robert Tonyan,GB,,9.5,13.5,30.8,,4.0,4.2
Chris Carson,SEA,21.6,18.3,9.1,23.5,16.9,,4.6
Anthony Miller,CHI,15.6,0.0,12.0,3.1,4.8,2.3,3.5
Breshad Perriman,NYJ,3.2,2.2,,,,8.2,3.7
