,Unnamed: 0,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks)
0,A.J. Brown,6.4,0.0,0.0,0.0,17.7,4.8,5.9
1,A.J. Dillon,1.4,1.7,0.0,0.3,0.0,0.7,0.1
2,A.J. Green,7.6,4.4,6.1,0.8,0.0,3.8,2.3
3,AJ McCarron,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aaron Jones,15.6,43.6,15.6,19.6,0.0,18.9,11.7
5,Aaron Rodgers,30.8,18.7,24.5,29.6,0.0,20.7,18.0
6,Adam Humphries,7.7,13.3,6.1,0.0,0.0,5.4,2.0
7,Adam Shaheen,0.0,0.9,0.0,0.0,6.8,1.5,2.3
8,Adam Thielen,28.0,4.6,10.8,22.2,24.8,18.1,19.3
9,Adrian Peterson,12.9,4.1,9.0,9.6,0.0,7.1,6.2
10,Albert Okwuegbunam,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Albert Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Armah,0.1,1.9,0.0,0.2,0.2,0.5,0.1
13,Alex Erickson,0.0,0.0,0.0,2.1,0.0,0.4,0.7
14,Alex McGough,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alexander Mattison,10.0,2.1,2.7,7.7,15.1,7.5,8.5
16,Allen Hurns,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Allen Lazard,16.2,6.0,23.4,0.0,0.0,9.1,7.8
18,Allen Robinson,9.8,4.8,23.3,19.6,14.0,14.3,19.0
19,Alshon Jeffery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Andrew Beck,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Andy Janovich,0.0,0.5,1.8,0.0,0.4,0.5,0.7
23,Anthony Firkser,1.5,6.5,0.0,0.0,3.4,2.3,1.1
24,Anthony Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Anthony McFarland,0.0,0.0,5.4,0.0,0.6,1.2,2.0
26,Anthony Miller,15.6,0.0,12.0,3.1,4.8,7.1,6.6
27,Antoine Wesley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Antony Auclair,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Artavis Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Ashton Dulin,0.0,1.1,0.0,0.0,4.2,1.1,1.4
31,Auden Tate,0.0,0.0,3.9,2.0,1.7,1.5,2.5
32,Austin Fort,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Austin Hooper,2.5,3.2,4.0,11.9,8.2,6.0,8.0
34,Austin Mack,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Baker Mayfield,10.9,16.3,14.3,15.2,17.6,14.9,15.7
