,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
8,Dalvin Cook,MIN,CAR,17.3,14.1,24.9,27.6,17.4,,,47.6,38.2,13.2,,25.0,,11000,,27.55
321,Christian McCaffrey,CAR,MIN,27.0,22.8,,,,,,,32.1,,,27.3,,10000,D,24.2
65,Alvin Kamara,NO,DEN,21.2,33.9,38.2,19.4,15.9,,18.8,20.8,13.4,31.3,,23.7,,8600,,23.97
57,Nick Chubb,CLE,JAX,5.1,25.8,23.5,4.3,,,,,,18.6,,15.5,,8400,,17.55
264,Austin Ekeler,LAC,BUF,9.2,16.8,25.8,1.9,,,,,,,,13.4,,6500,IR,16.73
124,Todd Gurley,ATL,LV,12.7,6.1,14.7,18.8,23.0,8.2,21.2,10.6,12.5,,,14.2,,6900,,16.71
78,Kareem Hunt,CLE,JAX,10.1,23.1,13.4,19.1,16.8,6.7,17.7,8.3,,14.7,,14.4,,6600,,16.3
49,Josh Jacobs,LV,ATL,33.9,12.0,7.8,8.8,21.5,,4.6,12.9,13.3,27.6,,15.8,,8000,,15.79
22,Derrick Henry,TEN,IND,14.6,8.4,26.0,,18.8,39.4,14.2,17.2,6.8,11.4,,17.4,,8300,,13.68
331,Joe Mixon,CIN,NYG,5.6,10.6,7.5,39.1,12.4,13.9,,,,,,14.8,,7500,IR,13.65
58,James Robinson,JAX,CLE,9.5,19.5,27.9,12.7,7.5,13.3,,,15.9,12.2,,14.8,,7400,,13.38
144,Ronald Jones,TB,KC,9.2,9.7,8.3,15.8,14.0,25.1,10.1,4.6,3.3,24.3,,12.4,,6500,,13.29
337,Raheem Mostert,SF,LAR,23.1,17.7,,,13.4,8.6,,,,,,15.7,,7000,IR,12.87
276,Myles Gaskin,MIA,NYJ,8.6,11.2,12.0,7.7,17.6,14.6,,11.8,,,,11.9,,5600,,12.0
34,Kenyan Drake,ARI,NE,13.5,10.5,8.4,3.5,12.7,28.4,4.6,,,9.4,14.0,11.7,,6200,,11.47
35,Mike Davis,CAR,MIN,,11.5,19.1,19.6,25.4,10.5,6.1,8.2,6.2,6.4,,12.6,,7200,,11.17
38,Jonathan Taylor,IND,TEN,11.9,18.0,12.7,8.4,14.4,13.5,,4.1,8.4,4.7,,10.7,,6400,,10.89
83,Nyheim Hines,IND,TEN,23.3,0.9,8.1,4.7,4.0,5.2,,19.7,4.8,26.0,,10.7,,5700,,10.89
40,Chase Edmonds,ARI,NE,12.0,2.8,4.4,12.5,17.7,3.4,18.0,,10.3,9.2,12.9,10.3,10.8,5800,,10.25
45,Kalen Ballage,LAC,BUF,,2.7,7.7,2.1,,,,,15.4,12.7,,8.1,,5500,,10.11
72,Leonard Fournette,TB,KC,2.4,25.6,3.2,,,,12.7,8.6,7.1,4.0,,9.1,,5600,,9.75
