,Name,Team,Opp,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Avg Points,Avg Points (3 weeks),Salary,Injury,Predicted
4,Tyreek Hill,KC,TB,13.1,19.3,18.7,14.4,16.8,4.0,14.5,23.8,28.6,,21.5,17.5,24.6,8600,,19.64
0,Keenan Allen,LAC,BUF,5.7,13.1,23.7,10.2,9.9,,17.5,17.2,20.8,11.4,26.5,15.6,19.6,8200,,16.24
258,Stefon Diggs,BUF,LAC,12.6,25.3,12.9,14.5,15.6,13.6,7.8,12.2,16.3,20.3,,15.1,16.3,7900,,15.76
1,Adam Thielen,MIN,CAR,26.0,4.6,10.8,22.2,24.8,12.6,,4.2,4.8,18.3,28.3,15.7,17.1,7800,O,14.94
70,DeAndre Hopkins,ARI,NE,22.1,16.8,18.7,7.6,22.1,8.3,19.3,,4.5,22.2,7.6,14.9,11.4,8500,,14.46
2,Robert Woods,LAR,SF,14.9,10.3,18.9,6.8,15.1,12.0,4.0,24.9,,6.1,24.6,13.8,18.5,6800,,14.39
13,D.J. Moore,CAR,MIN,7.4,16.0,7.5,6.9,17.3,11.8,23.3,6.5,2.8,17.6,18.3,12.3,12.9,7300,,14.12
47,Calvin Ridley,ATL,LV,29.4,26.4,14.2,0.0,17.6,15.9,15.4,5.7,,,11.5,15.1,10.9,8100,,13.95
18,Curtis Samuel,CAR,MIN,6.8,4.9,7.2,6.3,8.9,,14.3,19.4,22.3,2.7,17.4,11.0,14.1,5900,,13.5
103,Julio Jones,ATL,LV,20.2,3.4,,5.2,,29.7,13.7,17.2,13.9,,4.9,13.5,12.0,8000,Q,13.15
85,D.J. Chark,JAX,CLE,10.0,10.4,,25.5,3.1,8.0,,,24.1,7.6,6.1,11.8,12.6,6100,O,12.7
29,Tyler Boyd,CIN,NYG,5.3,16.7,17.5,12.9,6.2,10.4,21.6,16.6,,7.1,13.0,12.7,12.2,6900,,12.38
28,Justin Jefferson,MIN,CAR,3.6,5.9,27.0,12.3,3.8,33.1,,4.1,7.9,17.5,16.1,13.1,13.8,7000,,12.34
7,Cooper Kupp,LAR,SF,6.0,10.5,21.2,15.2,9.1,2.6,8.9,16.5,,7.5,20.0,11.8,14.7,6700,,11.99
33,A.J. Brown,TEN,IND,6.4,,,,17.7,20.3,24.3,10.4,18.1,2.6,14.2,14.3,11.6,7500,,11.84
300,Richie James,SF,LAR,,,,,,,,,28.9,2.1,,15.5,15.5,5100,,11.83
107,Tee Higgins,CIN,NYG,,5.0,18.5,11.0,8.2,15.7,16.3,11.4,,19.0,4.1,12.1,11.5,6200,,11.76
19,Nelson Agholor,LV,ATL,8.8,2.4,4.2,12.4,13.7,,19.2,0.0,12.5,1.3,17.8,9.2,10.5,5200,,11.7
79,Christian Kirk,ARI,NE,0.5,7.0,,9.4,10.3,21.6,18.2,,20.8,4.7,7.0,11.1,10.8,6100,,11.5
56,Robby Anderson,CAR,MIN,20.4,13.4,8.0,13.9,15.5,9.7,10.4,7.3,10.8,4.1,8.1,11.1,7.7,6400,,11.41
225,Cole Beasley,BUF,LAC,7.8,9.5,13.0,10.7,8.3,12.5,16.7,3.4,5.4,22.4,,11.0,10.4,5400,,11.03
27,DeVante Parker,MIA,NYJ,6.7,13.8,9.4,16.0,12.0,5.0,,6.8,9.4,4.1,15.1,9.8,9.5,6500,,10.91
36,Mike Evans,TB,KC,6.7,19.9,13.2,21.7,12.6,1.5,4.7,14.0,8.4,16.7,13.4,12.1,12.8,7100,,10.9
31,Tim Patrick,DEN,NO,4.9,3.4,12.3,20.3,,12.1,5.9,,10.9,8.1,14.4,10.3,11.1,5500,,10.85
26,Chris Godwin,TB,KC,10.9,,14.9,,,7.3,19.3,,5.6,12.2,14.8,12.1,10.9,7400,,10.4
117,Keelan Cole,JAX,CLE,13.2,14.8,6.3,6.6,9.7,17.3,,,1.1,21.2,3.6,10.4,8.6,5300,,10.4
215,Brandon Aiyuk,SF,LAR,,3.1,18.6,12.6,5.9,8.2,14.5,19.1,,16.2,,12.3,16.6,6600,O,10.37
363,Sterling Shepard,NYG,CIN,7.7,4.5,,,,,14.9,11.4,8.7,7.7,,9.2,9.3,5400,,10.34
95,Jakobi Meyers,NE,ARI,,1.2,,,,,8.2,8.8,22.9,8.4,5.3,9.1,12.2,5800,,10.21
228,Odell Beckham Jr.,CLE,JAX,3.7,15.4,7.9,35.9,8.2,3.5,0.0,,,,,10.7,3.9,4500,IR,10.13
97,Jerry Jeudy,DEN,NO,7.6,8.2,8.0,13.1,,4.2,3.0,9.3,22.0,8.8,5.2,8.9,12.0,5700,Q,10.12
140,Jamison Crowder,NYJ,MIA,21.0,,,13.9,21.6,8.3,,,9.6,,2.1,12.7,6.7,6300,,10.05
369,Darius Slayton,NYG,CIN,25.2,4.8,4.8,6.3,16.9,10.8,3.3,8.1,1.3,11.8,,9.3,7.1,5900,,9.68
30,Mike Williams,LAC,BUF,8.9,2.4,2.2,,25.4,,0.9,18.5,10.6,4.8,15.2,9.9,10.2,6100,,9.66
37,Michael Pittman,IND,TEN,2.0,5.7,4.1,,,,,1.1,7.6,15.7,14.1,7.2,12.5,5700,,9.59
50,Breshad Perriman,NYJ,MIA,3.2,2.2,,,,8.2,3.7,,24.6,,12.4,9.0,13.6,5900,,9.57
