,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,Tampa Bay Buccaneers,DEF,5,2,0,0,1,0,0,10,19.0,19
1,1,Pittsburgh Steelers,DEF,4,2,0,0,1,0,0,7,18.0,18
2,2,Arizona Cardinals,DEF,3,2,2,0,0,0,0,10,15.0,15
3,3,Miami Dolphins,DEF,3,1,0,0,0,0,0,0,15.0,15
4,4,Denver Broncos,DEF,4,2,1,0,0,0,0,12,14.0,14
5,5,New York Giants,DEF,3,1,1,0,1,0,0,19,14.0,14
6,6,Chicago Bears,DEF,4,2,1,0,0,0,0,16,11.0,11
7,7,Atlanta Falcons,DEF,1,3,0,0,0,0,0,23,7.0,7
8,8,New England Patriots,DEF,2,2,0,0,0,0,0,18,7.0,7
9,9,Baltimore Ravens,DEF,6,0,1,0,0,0,0,28,7.0,7
10,10,New York Jets,DEF,2,2,0,0,0,0,0,24,6.0,6
11,11,Detroit Lions,DEF,1,1,1,0,0,0,0,16,6.0,6
12,12,Cincinnati Bengals,DEF,1,1,1,0,0,0,0,31,4.0,4
13,13,Indianapolis Colts,DEF,2,1,0,0,0,0,0,27,4.0,4
14,14,Washington Football Team,DEF,1,1,0,0,0,0,0,14,4.0,4
15,15,San Francisco 49ers,DEF,0,1,0,0,0,0,0,16,3.0,3
16,16,Buffalo Bills,DEF,1,0,1,0,0,0,0,26,3.0,3
17,17,Kansas City Chiefs,DEF,0,1,0,0,0,0,0,17,3.0,3
18,18,Philadelphia Eagles,DEF,3,0,0,0,0,0,0,30,2.0,2
19,19,Carolina Panthers,DEF,0,1,0,0,0,0,0,23,2.0,2
20,20,Houston Texans,DEF,2,1,1,0,0,0,0,42,2.0,2
21,21,Cleveland Browns,DEF,2,0,0,0,0,0,0,32,1.0,1
22,22,Jacksonville Jaguars,DEF,0,1,0,0,0,0,0,34,1.0,1
23,23,Los Angeles Rams,DEF,0,0,0,0,0,0,0,24,0.0,0
24,24,Minnesota Vikings,DEF,2,0,1,0,0,0,0,40,0.0,0
25,25,Green Bay Packers,DEF,0,0,0,0,0,0,0,32,-1.0,-1
26,26,Tennessee Titans,DEF,2,0,0,0,0,0,0,36,-2.0,-2
27,27,Dallas Cowboys,DEF,1,0,0,0,0,0,0,38,-3.0,-3
28,28,Los Angeles Chargers,DEF,0,0,0,0,0,0,0,0,0.0,10
29,29,Las Vegas Raiders,DEF,0,0,0,0,0,0,0,0,0.0,10
30,30,New Orleans Saints,DEF,0,0,0,0,0,0,0,0,0.0,10
31,31,Seattle Seahawks,DEF,0,0,0,0,0,0,0,0,0.0,10
