,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
0,0,Davante Adams,WR,GB,0,0,0,0,0,14,156,2,0,0,0,0.0,41.6,34.6
1,1,Josh Jacobs,RB,LV,0,0,0,93,3,4,46,0,0,0,0,0.0,35.9,33.9
2,2,Calvin Ridley,WR,ATL,0,0,0,-1,0,9,130,2,0,0,0,0.0,33.9,29.4
3,3,Russell Wilson,QB,SEA,322,4,0,29,0,0,0,0,0,0,0,0.0,31.78,31.78
4,4,Adam Thielen,WR,MIN,0,0,0,0,0,6,110,2,0,0,1,0.0,31.0,28.0
5,5,Aaron Rodgers,QB,GB,364,4,0,2,0,0,0,0,0,0,0,0.0,30.76,30.76
6,6,DeAndre Hopkins,WR,ARI,0,0,0,0,0,14,151,0,0,0,0,0.0,29.1,22.1
7,7,Christian McCaffrey,RB,CAR,0,0,0,97,2,3,38,0,0,0,0,0.0,28.5,27.000000000000004
8,8,Darius Slayton,WR,NYG,0,0,0,0,0,6,102,2,0,0,0,0.0,28.2,25.200000000000003
9,9,Josh Allen,QB,BUF,312,2,0,57,1,0,0,0,0,0,0,0.0,28.18,32.18
10,10,Ezekiel Elliott,RB,DAL,0,0,0,96,1,3,31,1,0,0,0,0.0,27.7,26.200000000000003
11,11,Lamar Jackson,QB,BAL,275,3,0,45,0,0,0,0,0,0,0,0.0,27.5,27.5
12,12,Nyheim Hines,RB,IND,0,0,0,28,1,8,45,1,0,0,0,0.0,27.3,23.3
13,13,Kyler Murray,QB,ARI,230,1,1,91,1,0,0,0,0,0,0,0.0,26.3,27.3
14,14,Malcolm Brown,RB,LA,0,0,0,79,2,3,31,0,0,0,0,0.0,26.0,24.5
15,15,Cam Newton,QB,NE,155,0,0,75,2,0,0,0,0,0,0,0.0,25.7,25.7
16,16,Robby Anderson,WR,CAR,0,0,0,0,0,6,114,1,0,0,1,0.0,25.4,22.4
17,17,Raheem Mostert,RB,SF,0,0,0,56,0,4,95,1,0,0,0,0.0,25.1,23.1
18,18,JuJu Smith-Schuster,WR,PIT,0,0,0,0,0,6,69,2,0,0,0,0.0,24.9,21.9
19,19,Julio Jones,WR,ATL,0,0,0,0,0,9,157,0,0,0,0,0.0,24.7,20.200000000000003
20,20,Chris Carson,RB,SEA,0,0,0,21,0,6,45,2,0,0,0,0.0,24.6,21.6
21,21,Jamison Crowder,WR,NYJ,0,0,0,0,0,7,115,1,0,0,0,0.0,24.5,21.0
22,22,Mitchell Trubisky,QB,CHI,242,3,0,26,0,0,0,0,0,0,0,0.0,24.28,24.28
23,23,Dallas Goedert,TE,PHI,0,0,0,0,0,8,101,1,0,0,0,0.0,24.1,20.1
24,24,Matt Ryan,QB,ATL,450,2,1,-1,0,0,0,0,0,0,0,0.0,23.9,24.9
25,25,Alvin Kamara,RB,NO,0,0,0,16,1,5,51,1,0,0,0,0.0,23.7,21.2
26,26,Mark Andrews,TE,BAL,0,0,0,0,0,5,58,2,0,0,0,0.0,22.8,20.3
27,27,Ben Roethlisberger,QB,PIT,229,3,0,9,0,0,0,0,0,0,0,0.0,22.06,22.06
28,28,Dalvin Cook,RB,MIN,0,0,0,50,2,1,-2,0,0,0,2,0.0,21.8,21.3
29,29,Kirk Cousins,QB,MIN,259,2,1,34,0,0,0,0,0,0,1,0.0,21.76,22.759999999999998
30,30,Sammy Watkins,WR,KC,0,0,0,3,0,7,82,1,0,0,0,0.0,21.5,18.0
31,31,Gardner Minshew,QB,JAX,173,3,0,19,0,0,0,0,0,0,0,0.0,20.82,20.82
32,32,Deshaun Watson,QB,HOU,253,1,1,27,1,0,0,0,0,0,0,0.0,20.82,21.82
33,33,Tom Brady,QB,TB,239,2,2,9,1,0,0,0,0,0,0,0.0,20.46,22.46
34,34,Patrick Mahomes,QB,KC,211,3,0,0,0,0,0,0,0,0,0,0.0,20.44,20.439999999999998
35,35,Russell Gage,WR,ATL,0,0,0,0,0,9,114,0,0,0,0,0.0,20.4,15.9
36,36,David Johnson,RB,HOU,0,0,0,77,1,3,32,0,0,0,0,0.0,19.9,18.4
37,37,Clyde Edwards-Helaire,RB,KC,0,0,0,138,1,0,0,0,0,0,0,0.0,19.8,19.8
38,38,Marquez Valdes-Scantling,WR,GB,0,0,0,0,0,4,96,1,0,0,0,0.0,19.6,17.6
39,39,DK Metcalf,WR,SEA,0,0,0,0,0,4,95,1,0,0,0,0.0,19.5,17.5
40,40,Teddy Bridgewater,QB,CAR,269,1,0,26,0,0,0,0,0,0,1,0.0,19.36,19.36
41,41,Ryan Tannehill,QB,TEN,249,2,0,14,0,0,0,0,0,0,0,0.0,19.36,19.36
42,42,Jimmy Garoppolo,QB,SF,259,2,0,9,0,0,0,0,0,0,0,0.0,19.26,19.259999999999998
43,43,Will Fuller,WR,HOU,0,0,0,0,0,8,112,0,0,0,0,0.0,19.2,15.200000000000001
44,44,Noah Fant,TE,DEN,0,0,0,0,0,5,81,1,0,0,0,0.0,19.1,16.6
45,45,John Brown,WR,BUF,0,0,0,0,0,6,70,1,0,0,0,0.0,19.0,16.0
46,46,Allen Lazard,WR,GB,0,0,0,19,0,4,63,1,0,0,0,0.0,18.2,16.200000000000003
47,47,Amari Cooper,WR,DAL,0,0,0,0,0,10,81,0,0,0,0,0.0,18.1,13.1
48,48,Robert Woods,WR,LA,0,0,0,14,0,6,105,0,0,0,0,0.0,17.9,14.9
49,49,Dak Prescott,QB,DAL,266,1,0,30,0,0,0,0,0,0,0,0.0,17.64,17.64
50,50,Aaron Jones,RB,GB,0,0,0,66,1,4,10,0,0,0,0,0.0,17.6,15.600000000000001
51,51,Anthony Miller,WR,CHI,0,0,0,0,0,4,76,1,0,0,0,0.0,17.6,15.600000000000001
52,52,Daniel Jones,QB,NYG,279,2,2,22,0,0,0,0,0,0,0,0.0,17.36,19.36
53,53,Tyler Lockett,WR,SEA,0,0,0,0,0,8,92,0,0,0,0,0.0,17.2,13.200000000000001
54,54,Corey Davis,WR,TEN,0,0,0,0,0,7,101,0,0,0,0,0.0,17.1,13.600000000000001
55,55,Travis Kelce,TE,KC,0,0,0,0,0,6,50,1,0,0,0,0.0,17.0,14.0
56,56,Stefon Diggs,WR,BUF,0,0,0,0,0,8,86,0,0,0,0,0.0,16.6,12.6
57,57,T.J. Hockenson,TE,DET,0,0,0,0,0,5,56,1,0,0,0,0.0,16.6,14.100000000000001
58,58,Willie Snead,WR,BAL,0,0,0,0,0,4,64,1,0,0,0,0.0,16.4,14.4
59,59,Joe Burrow,QB,CIN,193,0,1,46,1,0,0,0,0,0,0,0.0,16.32,17.32
60,60,Matthew Stafford,QB,DET,297,1,1,23,0,0,0,0,0,0,0,0.0,16.18,17.18
61,61,Derrick Henry,RB,TEN,0,0,0,116,0,3,15,0,0,0,0,0.0,16.1,14.600000000000001
62,62,Keelan Cole,WR,JAX,0,0,0,0,0,5,47,1,0,0,0,0.0,15.7,13.2
63,63,Melvin Gordon,RB,DEN,0,0,0,78,1,3,8,0,0,0,0,0.0,15.6,16.1
64,64,Tyreek Hill,WR,KC,0,0,0,0,0,5,46,1,0,0,0,0.0,15.6,13.100000000000001
65,65,Marquise Brown,WR,BAL,0,0,0,0,0,5,101,0,0,0,0,0.0,15.1,12.600000000000001
66,66,Peyton Barber,RB,WAS,0,0,0,29,2,0,0,0,0,0,0,0.0,14.9,14.9
67,67,Jonathan Taylor,RB,IND,0,0,0,22,0,6,67,0,0,0,0,0.0,14.9,11.9
68,68,Philip Rivers,QB,IND,363,1,2,3,0,0,0,0,0,0,0,0.0,14.82,16.82
69,69,Kenyan Drake,RB,ARI,0,0,0,60,1,2,5,0,0,0,0,0.0,14.5,13.5
70,70,Drew Brees,QB,NO,160,2,0,0,0,0,0,0,0,0,0,0.0,14.4,14.4
71,71,Adrian Peterson,RB,DET,0,0,0,93,0,3,21,0,0,0,0,0.0,14.4,12.9
72,72,J.K. Dobbins,RB,BAL,0,0,0,22,2,0,0,0,0,0,0,0.0,14.2,14.2
73,73,Parris Campbell,WR,IND,0,0,0,9,0,6,71,0,0,0,0,0.0,14.0,11.0
74,74,David Njoku,TE,CLE,0,0,0,0,0,3,50,1,0,0,0,0.0,14.0,12.5
75,75,Chris Godwin,WR,TB,0,0,0,0,0,6,79,0,0,0,0,0.0,13.9,10.9
76,76,Todd Gurley,RB,ATL,0,0,0,56,1,2,1,0,0,0,0,0.0,13.7,12.700000000000001
77,77,Laviska Shenault Jr.,WR,JAX,0,0,0,10,0,3,37,1,0,0,0,0.0,13.7,12.2
