,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
0,25,A.J. Brown,TEN,WR,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,153.0,25.5,73.0,1.0,0.0,0.0,0.0,0.0,24.3
1,84,A.J. Dillon,GB,RB,0.0,10/25/2020,@Texans,W 35 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,2.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
2,125,A.J. Green,CIN,WR,0.0,10/25/2020,Browns,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,11.7,22.0,0.0,0.0,0.0,0.0,0.0,11.700000000000001
5,304,Aaron Rodgers,GB,QB,0.0,10/25/2020,@Texans,W 35 - 20,23.0,34.0,283.0,8.3,4.0,0.0,0.0,0.0,132.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.32
6,152,Adam Humphries,TEN,WR,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
7,358,Adam Trautman,NO,TE,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,288,Adrian Peterson,DET,RB,0.0,10/25/2020,@Falcons,W 23 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.6,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004
9,280,Albert Okwuegbunam,DEN,TE,0.0,10/25/2020,Chiefs,L 16 - 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,8.6,17.0,0.0,0.0,0.0,0.0,0.0,9.5
13,306,Allen Robinson,CHI,WR,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,17.5,42.0,0.0,0.0,0.0,0.0,0.0,9.0
15,227,Alvin Kamara,NO,RB,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,83.0,5.9,32.0,0.0,8.0,65.0,8.1,17.0,0.0,0.0,0.0,0.0,0.0,18.8
