,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
0,ARI,DET,2019-09-08,1,True,29.0,54.0,53.7,308.0,2.0,1.0,5.0,5.7,23.0,112.0,4,0.0,0.0
1,ARI,BAL,2019-09-15,2,False,25.0,40.0,62.5,349.0,0.0,0.0,3.0,8.72,11.0,20.0,2,1.0,1.0
2,ARI,CAR,2019-09-22,3,True,30.0,43.0,69.8,173.0,2.0,2.0,8.0,4.02,22.0,121.0,5,0.0,0.0
3,ARI,SEA,2019-09-29,4,True,22.0,32.0,68.8,241.0,0.0,1.0,4.0,7.53,23.0,115.0,5,1.0,0.0
4,ARI,CIN,2019-10-06,5,False,20.0,32.0,62.5,253.0,0.0,0.0,1.0,7.91,38.0,266.0,7,2.0,0.0
5,ARI,ATL,2019-10-13,6,True,27.0,37.0,73.0,340.0,3.0,0.0,0.0,9.19,29.0,102.0,3,1.0,0.0
6,ARI,NYG,2019-10-20,7,False,14.0,21.0,66.7,104.0,0.0,0.0,2.0,4.95,38.0,156.0,4,3.0,0.0
7,ARI,NO,2019-10-27,8,False,19.0,34.0,55.9,220.0,0.0,0.0,4.0,6.47,11.0,40.0,3,0.0,1.0
8,ARI,SF,2019-10-31,9,True,17.0,24.0,70.8,241.0,2.0,0.0,3.0,10.04,23.0,153.0,6,1.0,0.0
9,ARI,TB,2019-11-10,10,False,27.0,44.0,61.4,324.0,3.0,1.0,2.0,7.36,18.0,75.0,4,0.0,1.0
10,ARI,SF,2019-11-17,11,False,24.0,33.0,72.7,150.0,2.0,0.0,4.0,4.55,25.0,135.0,5,1.0,2.0
11,ARI,LAR,2019-12-01,13,True,19.0,34.0,55.9,163.0,0.0,1.0,6.0,4.79,21.0,74.0,3,1.0,0.0
12,ARI,PIT,2019-12-08,14,True,20.0,30.0,66.7,194.0,2.0,3.0,5.0,6.47,22.0,71.0,3,0.0,1.0
13,ARI,CLE,2019-12-15,15,True,19.0,25.0,76.0,219.0,1.0,1.0,0.0,8.76,35.0,226.0,6,4.0,0.0
14,ARI,SEA,2019-12-22,16,False,15.0,27.0,55.6,167.0,1.0,0.0,2.0,6.19,40.0,253.0,6,2.0,0.0
15,ARI,LAR,2019-12-29,17,False,27.0,43.0,62.8,325.0,2.0,2.0,1.0,7.56,17.0,71.0,4,1.0,3.0
16,ATL,MIN,2019-09-08,1,False,33.0,46.0,71.7,304.0,2.0,2.0,4.0,6.61,17.0,73.0,4,0.0,1.0
17,ATL,PHI,2019-09-15,2,True,27.0,43.0,62.8,320.0,3.0,3.0,1.0,7.44,17.0,57.0,3,0.0,1.0
18,ATL,IND,2019-09-22,3,False,29.0,34.0,85.3,304.0,3.0,1.0,0.0,8.94,20.0,93.0,4,0.0,0.0
19,ATL,TEN,2019-09-29,4,True,35.0,53.0,66.0,397.0,0.0,0.0,5.0,7.49,17.0,58.0,3,1.0,1.0
