,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
ARI,4,9,4,1,7,15,7,2,3,3.0,
ATL,-1,3,5,0,0,7,2,6,3,5.0,
BUF,8,2,5,6,-4,3,14,4,12,6.0,
CAR,-1,3,11,3,5,2,3,4,3,-1.0,17.0
CIN,3,-2,7,5,3,4,-2,4,-4,5.0,
CLE,0,4,14,5,13,1,7,3,6,20.0,
DEN,5,2,6,14,2,5,3,-4,12,,
IND,4,15,26,7,11,4,15,5,8,8.0,
JAX,6,0,0,2,4,1,3,4,11,2.0,
KC,7,5,20,-1,3,24,7,1,1,,
LAC,11,1,2,4,3,6,3,2,1,9.0,
LAR,4,7,4,11,12,0,15,5,13,5.0,
LV,0,3,0,4,-4,9,4,16,-2,,
MIA,4,2,12,3,12,15,23,8,4,5.0,
MIN,-4,4,3,5,6,0,3,9,10,2.0,
NE,11,6,15,4,7,4,3,3,5,0.0,
NO,15,-3,4,3,1,7,16,14,16,,
NYG,4,9,-2,5,11,14,5,4,13,4.0,
NYJ,7,4,0,8,2,6,5,-4,-1,6.0,
SF,4,5,12,6,-2,3,17,-2,0,7.0,
TB,0,14,16,6,6,19,6,7,1,5.0,4.0
TEN,5,7,8,-2,6,-1,14,0,3,,
