,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Keenan Allen,LAC,5.7,13.1,23.7,10.2,9.9,,17.5,17.2,20.8,11.4,26.5
Adam Thielen,MIN,26.0,4.6,10.8,22.2,24.8,12.6,,4.2,4.8,18.3,28.3
Robert Woods,LAR,14.9,10.3,18.9,6.8,15.1,12.0,4.0,24.9,,6.1,24.6
Justin Herbert,LAC,,23.24,15.7,24.0,27.36,,38.48,23.22,23.44,21.48,27.74
Tyreek Hill,KC,13.1,19.3,18.7,14.4,16.8,4.0,14.5,23.8,28.6,,21.5
Travis Kelce,KC,14.0,19.5,11.7,8.5,20.8,19.0,4.6,20.9,20.9,,22.7
Damiere Byrd,NE,0.0,10.2,4.2,10.5,,5.3,2.1,5.4,9.0,,23.3
Cooper Kupp,LAR,6.0,10.5,21.2,15.2,9.1,2.6,8.9,16.5,,7.5,20.0
Dalvin Cook,MIN,17.3,14.1,24.9,27.6,17.4,,,47.6,38.2,13.2,22.5
Taysom Hill,NO,2.82,0.8,-1.4,0.6,7.3,,0.6,3.5,7.32,2.5,24.42
Jared Goff,LAR,11.5,23.98,26.24,11.7,25.36,15.92,16.9,12.2,,10.48,25.04
Kirk Cousins,MIN,20.76,1.52,21.44,14.9,15.16,22.72,,10.4,20.8,18.58,22.96
Ryan Tannehill,TEN,19.36,26.76,12.74,,30.0,27.64,17.3,18.32,14.62,10.78,20.86
D.J. Moore,CAR,7.4,16.0,7.5,6.9,17.3,11.8,23.3,6.5,2.8,17.6,18.3
Darren Waller,LV,7.5,22.5,1.9,11.3,13.3,,14.0,5.2,10.7,5.2,18.3
Derek Carr,LV,13.56,21.66,15.44,20.44,24.98,,20.26,12.54,14.0,7.16,22.6
Patrick Mahomes,KC,20.44,25.48,40.0,20.24,28.7,20.6,12.0,36.64,31.48,,22.52
Philip Rivers,IND,16.82,11.86,12.68,11.2,7.62,25.74,,22.28,8.08,16.32,22.42
Curtis Samuel,CAR,6.8,4.9,7.2,6.3,8.9,,14.3,19.4,22.3,2.7,17.4
Nelson Agholor,LV,8.8,2.4,4.2,12.4,13.7,,19.2,0.0,12.5,1.3,17.8
Clyde Edwards-Helaire,KC,19.8,10.0,15.9,10.6,9.5,18.9,12.8,4.6,10.9,,20.2
Kyler Murray,ARI,27.3,33.14,24.7,23.12,27.3,28.92,38.1,,37.92,30.9,20.26
Derrick Henry,TEN,14.6,8.4,26.0,,18.8,39.4,14.2,17.2,6.8,11.4,19.7
Michael Thomas,NO,3.2,,,,,,,,7.6,3.7,14.9
Cam Newton,NE,25.7,35.58,12.18,,,17.88,2.82,16.36,24.56,16.82,19.2
Melvin Gordon,DEN,14.1,15.4,5.8,24.8,,,11.0,7.7,3.2,4.6,18.4
Chris Godwin,TB,10.9,,14.9,,,7.3,19.3,,5.6,12.2,14.8
DeVante Parker,MIA,6.7,13.8,9.4,16.0,12.0,5.0,,6.8,9.4,4.1,15.1
Justin Jefferson,MIN,3.6,5.9,27.0,12.3,3.8,33.1,,4.1,7.9,17.5,16.1
Tyler Boyd,CIN,5.3,16.7,17.5,12.9,6.2,10.4,21.6,16.6,,7.1,13.0
Mike Williams,LAC,8.9,2.4,2.2,,25.4,,0.9,18.5,10.6,4.8,15.2
Tim Patrick,DEN,4.9,3.4,12.3,20.3,,12.1,5.9,,10.9,8.1,14.4
Corey Davis,TEN,13.6,11.1,9.4,,,,12.5,22.8,0.0,9.2,13.8
A.J. Brown,TEN,6.4,,,,17.7,20.3,24.3,10.4,18.1,2.6,14.2
Kenyan Drake,ARI,13.5,10.5,8.4,3.5,12.7,28.4,4.6,,,9.4,14.0
Mike Davis,CAR,,11.5,19.1,19.6,25.4,10.5,6.1,8.2,6.2,6.4,14.9
Mike Evans,TB,6.7,19.9,13.2,21.7,12.6,1.5,4.7,14.0,8.4,16.7,13.4
Michael Pittman,IND,2.0,5.7,4.1,,,,,1.1,7.6,15.7,14.1
Jonathan Taylor,IND,11.9,18.0,12.7,8.4,14.4,13.5,,4.1,8.4,4.7,13.4
Frank Gore,NYJ,2.4,6.3,6.7,4.1,3.0,9.0,6.0,3.0,6.9,,14.1
Chase Edmonds,ARI,12.0,2.8,4.4,12.5,17.7,3.4,18.0,,10.3,9.2,12.9
Hunter Henry,LAC,9.8,11.3,7.5,4.9,10.3,,3.8,5.3,5.3,11.0,12.8
Joe Flacco,NYJ,,,,0.64,13.8,6.44,,,21.48,,15.4
James White,NE,6.7,,,9.4,,11.3,0.8,4.5,4.4,1.8,11.3
Larry Fitzgerald,ARI,5.4,8.5,0.5,1.4,5.5,3.7,10.2,,7.4,2.3,10.2
Kalen Ballage,LAC,,2.7,7.7,2.1,,,,,15.4,12.7,10.6
A.J. Green,CIN,7.6,4.4,6.1,0.8,0.0,13.6,11.7,2.9,,0.0,12.1
Calvin Ridley,ATL,29.4,26.4,14.2,0.0,17.6,15.9,15.4,5.7,,,11.5
Antonio Brown,TB,,,,,,,,,4.6,10.1,9.8
Josh Jacobs,LV,33.9,12.0,7.8,8.8,21.5,,4.6,12.9,13.3,27.6,12.9
