,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,BAL,DEF,7,1,2,0,1,0,0,3,26.0,26
1,1,CLE,DEF,1,2,0,1,1,0,0,23,13.0,13
2,2,MIA,DEF,5,2,1,0,0,0,0,17,12.0,12
3,3,LAR,DEF,8,0,0,0,0,0,0,10,12.0,12
4,4,IND,DEF,1,2,0,0,0,0,1,24,11.0,11
5,5,NYG,DEF,2,1,1,0,1,0,0,31,11.0,11
6,6,DAL,DEF,2,0,1,0,1,0,0,28,9.0,9
7,7,HOU,DEF,4,0,2,0,0,0,0,14,9.0,9
8,8,PIT,DEF,5,2,0,0,0,0,0,29,8.0,8
9,9,TEN,DEF,1,2,1,0,0,0,0,16,8.0,8
10,10,ARI,DEF,3,0,0,0,0,0,0,10,7.0,7
11,11,SEA,DEF,3,1,1,0,0,0,0,26,7.0,7
12,12,CHI,DEF,3,0,1,0,0,0,0,19,6.0,6
13,13,TB,DEF,3,1,0,0,0,0,0,20,6.0,6
14,14,MIN,DEF,4,1,0,0,0,0,0,27,6.0,6
15,15,CAR,DEF,2,1,0,0,0,0,0,16,5.0,5
16,16,JAX,DEF,1,2,0,0,0,0,0,30,4.0,4
17,17,LV,DEF,3,1,0,0,0,0,0,32,4.0,4
18,18,CIN,DEF,1,1,0,0,0,0,0,21,3.0,3
19,19,LAC,DEF,2,1,0,0,0,0,0,30,3.0,3
20,20,NO,DEF,3,0,0,0,0,0,0,27,3.0,3
21,21,WSH,DEF,1,1,0,0,0,0,0,30,2.0,2
22,22,NYJ,DEF,1,1,0,0,0,0,0,30,2.0,2
23,23,ATL,DEF,0,0,0,0,0,0,0,23,0.0,0
24,24,KC,DEF,1,1,0,0,0,0,0,40,-1.0,-1
25,25,PHI,DEF,1,0,1,0,0,0,0,38,-1.0,-1
26,26,SF,DEF,2,0,0,0,0,0,0,43,-2.0,-2
27,27,BUF,DEF,0,0,0,0,0,0,0,42,-4.0,-4
