Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Sacks,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD
49ers,291,190,65.3,7.1,1966,16,92.8,15,241,956,4,5,190,2057,10.8,16,0,0,6,2,4,4,8,0
Bears,314,189,60.2,6.7,1964,10,84,20,254,1052,4.1,6,189,2093,11.1,10,1,0,9,4,3,4,5,0
Bengals,280,177,63.2,7.5,2053,17,94.4,11,220,1154,5.2,7,177,2103,11.9,17,0,0,1,1,1,1,8,0
Bills,301,204,67.8,7.6,2151,14,97.3,24,245,1133,4.6,13,204,2279,11.2,14,0,0,10,8,4,3,6,0
Broncos,297,198,66.7,7,1927,14,94,22,222,956,4.3,6,198,2073,10.5,14,0,0,6,3,3,4,6,0
Browns,310,207,66.8,7.3,2117,17,97.1,20,215,854,4,9,207,2270,11,17,0,1,9,7,2,7,7,1
Buccaneers,327,222,67.9,7.1,2115,15,89.6,29,215,701,3.3,7,222,2327,10.5,15,0,1,9,5,2,1,11,1
Cardinals,299,191,63.9,7.1,1952,14,92.2,22,220,1009,4.6,5,191,2125,11.1,14,0,0,4,4,1,1,6,0
Chargers,296,188,63.5,6.8,1922,16,95.7,16,192,946,4.9,7,188,2010,10.7,16,0,0,4,3,1,2,4,1
Chiefs,308,192,62.3,6.6,1941,11,81.4,19,262,1246,4.8,9,192,2045,10.7,11,0,0,8,5,6,1,9,2
Colts,286,178,62.2,6.8,1788,11,78.9,21,234,826,3.5,7,178,1934,10.9,11,0,2,6,2,1,2,11,3
Cowboys,294,182,61.9,7.2,2021,21,103.1,17,285,1413,5,11,182,2110,11.6,21,1,0,5,3,1,1,3,0
Dolphins,296,186,62.8,7.4,2020,11,88,20,215,1054,4.9,10,186,2200,11.8,11,2,0,10,6,2,2,7,0
Eagles,278,184,66.2,6.8,1675,13,96.6,28,239,1046,4.4,11,184,1887,10.3,13,1,1,10,7,2,1,3,1
Falcons,351,238,67.8,8.3,2793,22,105.6,14,207,897,4.3,8,238,2903,12.2,22,0,0,7,3,3,2,7,0
FootballTeam,231,148,64.1,7.2,1485,11,87,27,240,1029,4.3,9,148,1667,11.3,11,0,1,8,1,1,2,8,0
Giants,325,226,69.5,7.9,2387,15,97.9,22,232,853,3.7,8,226,2555,11.3,15,1,0,8,7,5,3,8,1
Jaguars,268,188,70.1,8.5,2240,17,107.7,8,247,1105,4.5,11,188,2276,12.1,17,0,0,2,1,0,2,6,0
Jets,320,232,72.5,8.1,2536,16,103.9,11,267,1088,4.1,12,232,2597,11.2,16,0,0,6,3,1,5,7,1
Lions,266,172,64.7,7.7,1951,17,101.7,11,247,1185,4.8,13,172,2061,12,17,0,0,7,2,3,2,5,0
Packers,249,175,70.3,8,1875,13,106.5,17,196,888,4.5,11,175,2002,11.4,13,0,1,6,3,2,1,3,1
Panthers,333,229,68.8,6.9,2221,13,94.7,10,224,1035,4.6,12,229,2283,10,13,0,0,7,7,2,4,5,0
Patriots,211,143,67.8,8.8,1775,12,94.5,11,234,1048,4.5,8,143,1858,13,12,1,0,4,4,1,2,10,1
Raiders,289,184,63.7,7.6,2137,13,97.4,9,209,948,4.5,13,184,2188,11.9,13,0,0,3,2,2,1,3,0
Rams,276,179,64.9,6.3,1577,9,84.2,25,192,758,3.9,6,179,1742,9.7,9,0,0,6,4,0,2,6,0
Ravens,308,195,63.3,6.4,1785,10,86.9,24,180,814,4.5,6,195,1968,10.1,10,3,0,17,10,5,7,4,0
Saints,278,182,65.5,7.2,1851,19,99.1,22,183,642,3.5,5,182,2011,11,19,0,0,1,2,0,3,7,1
Seahawks,366,254,69.4,8.1,2897,16,98.2,19,204,749,3.7,11,254,2980,11.7,16,0,1,9,5,2,5,9,0
Steelers,268,152,56.7,7.2,1717,14,79.7,32,200,822,4.1,5,152,1931,12.7,14,0,1,6,4,2,4,11,2
Texans,276,191,69.2,7.8,2050,18,111.2,18,250,1276,5.1,11,191,2166,11.3,18,0,0,4,3,1,0,2,0
Titans,366,248,67.8,7.1,2497,20,96,11,241,1086,4.5,9,248,2586,10.4,20,1,0,9,5,5,6,9,0
Vikings,297,202,68,8,2303,19,105.1,16,236,1000,4.2,5,202,2383,11.8,19,0,0,8,3,1,4,6,0
