Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass INT,Pass Rate,Sacks,Rush Att,Rush Yds,Rush YPC,Rush TD,Rush FUM,Rec,Rec Yds,Rec Yds/Rec,Rec TD,Rec FUM,Tot TD,2PT
49ers,234,157,67.1,7.9,1858,10,7,92.9,19,202,964,4.8,12,1,157,1858,11.8,10,0,22,0
Bears,278,174,62.6,6.1,1699,12,9,80.6,15,157,589,3.8,2,0,174,1699,9.8,12,2,15,1
Bengals,294,196,66.7,6.9,2039,9,5,89.7,28,185,692,3.7,7,4,196,2039,10.4,9,2,16,0
Bills,264,178,67.4,7.7,2040,16,4,104.4,12,172,679,3.9,4,3,178,2040,11.5,16,1,20,0
Broncos,206,119,57.8,6.8,1406,6,10,68.1,18,168,682,4.1,5,5,119,1406,11.8,6,4,11,1
Browns,211,133,63,7.2,1512,16,7,95.9,11,216,1099,5.1,8,4,133,1512,11.4,16,0,25,1
Buccaneers,269,176,65.4,7.1,1910,18,4,102.3,8,180,740,4.1,8,3,176,1910,10.9,18,2,27,0
Cardinals,253,169,66.8,7.3,1847,13,7,93.8,9,216,1125,5.2,12,3,169,1847,10.9,13,3,25,0
Chargers,215,141,65.6,8.2,1754,12,3,103.5,12,193,747,3.9,5,4,141,1754,12.4,12,2,18,0
Chiefs,244,161,66,7.8,1912,16,1,109.9,11,200,943,4.7,7,2,161,1912,11.9,16,3,26,2
Colts,202,140,69.3,8,1615,7,6,92.3,6,164,588,3.6,5,0,140,1615,11.5,7,1,15,0
Cowboys,312,206,66,7.6,2358,11,7,91,20,179,713,4,9,6,206,2358,11.4,11,2,21,3
Dolphins,199,140,70.4,7.8,1544,10,7,95.1,10,165,631,3.8,6,1,140,1544,11,10,1,16,3
Eagles,279,164,58.8,6.4,1778,10,10,74.6,28,167,830,5,8,6,164,1778,10.8,10,1,20,4
Falcons,317,211,66.6,7.8,2462,12,4,97.3,17,228,869,3.8,10,3,211,2462,11.7,12,1,22,1
FootballTeam,243,153,63,6.3,1524,8,4,84.8,26,180,701,3.9,8,1,153,1524,10,8,3,16,0
Giants,231,143,61.9,6.1,1410,5,7,73.7,20,153,687,4.5,4,2,143,1410,9.9,5,2,11,1
Jaguars,267,176,65.9,6.9,1855,13,5,94.4,23,150,676,4.5,5,1,176,1855,10.5,13,1,19,2
Jets,240,135,56.3,5.5,1309,4,7,65.1,24,169,732,4.3,3,1,135,1309,9.7,4,1,8,0
Lions,204,127,62.3,7.7,1580,10,4,94.4,14,159,651,4.1,7,0,127,1580,12.4,10,0,17,1
Packers,208,137,65.9,8,1657,17,2,113.4,8,167,793,4.7,6,1,137,1657,12.1,17,0,24,1
Panthers,261,185,70.9,8.1,2109,9,6,96.7,16,202,885,4.4,9,1,185,2109,11.4,9,1,18,1
Patriots,180,116,64.4,7,1261,3,11,65.1,13,187,930,5,8,1,116,1261,10.9,3,4,13,0
Raiders,211,152,72,8.2,1726,13,2,112.8,11,170,681,4,6,4,152,1726,11.4,13,1,19,0
Rams,223,151,67.7,8,1790,12,4,102.4,8,222,971,4.4,10,1,151,1790,11.9,12,3,22,1
Ravens,165,104,63,7,1159,10,3,96.5,15,181,986,5.4,7,2,104,1159,11.1,10,2,20,0
Saints,215,156,72.6,7.7,1656,11,3,105.9,8,169,713,4.2,9,2,156,1656,10.6,11,2,21,0
Seahawks,219,156,71.2,8.6,1890,22,6,119.5,17,148,777,5.3,5,1,156,1890,12.1,22,1,27,1
Steelers,215,147,68.4,6.8,1452,13,4,99.6,8,184,778,4.2,8,5,147,1452,9.9,13,3,22,1
Texans,240,166,69.2,8.7,2095,15,5,108.2,22,151,594,3.9,4,1,166,2095,12.6,15,3,19,0
Titans,204,139,68.1,7.8,1590,15,2,111.8,8,186,871,4.7,8,1,139,1590,11.4,15,0,23,1
Vikings,175,113,64.6,8.4,1475,11,10,88.2,14,167,835,5,8,1,113,1475,13.1,11,0,19,6
