,Name,Status,Team,Position
0,Chase Edmonds,Q,ARI,RB
1,Julio Jones,O,ATL,WR
2,Olamide Zaccheaus,IR,ATL,WR
3,Robert Griffin,IR,BAL,QB
4,Trace McSorley,IR,BAL,QB
5,Chris Moore,IR,BAL,WR
6,De'Anthony Thomas,O,BAL,WR
7,Antoine Wesley,IR,BAL,WR
8,DeAndrew White,IR,BAL,WR
9,Nick Boyle,IR,BAL,TE
10,Jake Fromm,O,BUF,QB
11,TJ Yeldon,O,BUF,RB
12,Stefon Diggs,Q,BUF,WR
13,John Brown,IR,BUF,WR
14,Isaiah Hodgins,IR,BUF,WR
15,Tyler Kroft,O,BUF,TE
16,Tommy Sweeney,O,BUF,TE
17,Will Grier,O,CAR,QB
18,Christian McCaffrey,O,CAR,RB
19,Omar Bayless,IR,CAR,WR
20,Keith Kirkwood,IR,CAR,WR
21,Dwayne Harris,IR,CHI,WR
22,DeAndre Carter,O,CHI,WR
23,Jimmy Graham,Q,CHI,TE
24,Brandon Allen,O,CIN,QB
25,Joe Burrow,IR,CIN,QB
26,Joe Mixon,IR,CIN,RB
27,Auden Tate,IR,CIN,WR
28,John Ross,IR,CIN,WR
29,CJ Uzomah,IR,CIN,TE
30,Odell Beckham,IR,CLE,WR
31,JoJo Natson,IR,CLE,WR
32,KhaDarel Hodge,Q,CLE,WR
33,Taywan Taylor,IR,CLE,WR
34,Austin Hooper,Q,CLE,TE
35,David Njoku,Q,CLE,TE
36,Dak Prescott,IR,DAL,QB
37,Ezekiel Elliott,Q,DAL,RB
38,Stephen Guidry,O,DAL,WR
39,Blake Jarwin,IR,DAL,TE
40,Jeff Driskel,O,DEN,QB
41,Royce Freeman,Q,DEN,RB
42,Courtland Sutton,IR,DEN,WR
43,Tyrie Cleveland,O,DEN,WR
44,Albert Okwuegbunam,IR,DEN,TE
45,Matthew Stafford,Q,DET,QB
46,Kenny Golladay,O,DET,WR
47,Geronimo Allison,O,DET,WR
48,Jordan Love,O,GB,QB
49,Jamaal Williams,Q,GB,RB
50,Devin Funchess,O,GB,WR
51,Jace Sternberger,O,GB,TE
52,Duke Johnson,O,HOU,RB
53,CJ Prosise,O,HOU,RB
54,Randall Cobb,IR,HOU,WR
55,Will Fuller,SUSP,HOU,WR
56,Marlon Mack,IR,IND,RB
57,Parris Campbell,IR,IND,WR
58,Mo Alie-Cox,Q,IND,TE
59,Noah Togiai,IR,IND,TE
60,Dede Westbrook,IR,JAX,WR
61,James O'Shaughnessy,,JAX,TE
62,Darwin Thompson,O,KC,RB
63,Derek Carr,Q,LV,QB
64,Nathan Peterman,O,LV,QB
65,Jalen Richard,Q,LV,RB
66,Hunter Renfrow,Q,LV,WR
67,Henry Ruggs,O,LV,WR
68,Tyrell Williams,IR,LV,WR
69,Easton Stick,O,LAC,QB
70,Justin Jackson,O,LAC,RB
71,Joe Reed,O,LAC,WR
72,Virgil Green,IR,LAC,TE
73,Salvon Ahmed,Q,MIA,RB
74,DeVante Parker,Q,MIA,WR
75,Allen Hurns,O,MIA,WR
76,Jakeem Grant,Q,MIA,WR
77,Preston Williams,IR,MIA,WR
78,Albert Wilson,O,MIA,WR
79,Mike Gesicki,Q,MIA,TE
80,Alexander Mattison,Q,MIN,RB
81,Kyle Rudolph,O,MIN,TE
82,Damien Harris,O,NE,RB
83,James White,Q,NE,RB
84,JJ Taylor,Q,NE,RB
85,Donte Moncrief,O,NE,WR
86,Julian Edelman,IR,NE,WR
87,Quincy Adeboyejo,IR,NE,WR
88,Matthew Slater,Q,NE,WR
89,Marqise Lee,O,NE,WR
90,Ryan Izzo,IR,NE,TE
91,Deonte Harris,IR,NO,WR
92,Marquez Callaway,IR,NO,WR
93,Michael Thomas,IR,NO,WR
94,Bennie Fowler,IR,NO,WR
95,Jason Vander Laan,O,NO,TE
96,Daniel Jones,Q,NYG,QB
97,Devonta Freeman,IR,NYG,RB
98,Da'Mari Scott,O,NYG,WR
99,David Sills,IR,NYG,WR
100,Cody Core,IR,NYG,WR
101,Evan Engram,Q,NYG,TE
102,Kaden Smith,Q,NYG,TE
103,La'Mical Perine,IR,NYJ,RB
104,Jamison Crowder,Q,NYJ,WR
105,Josh Doctson,O,NYJ,WR
106,Jason Huntley,O,PHI,RB
107,DeSean Jackson,IR,PHI,WR
108,Marquise Goodwin,O,PHI,WR
109,Josh Perkins,IR,PHI,TE
110,James Conner,Q,PIT,RB
111,Zach Gentry,IR,PIT,TE
112,Jimmy Garoppolo,IR,SF,QB
113,Jalen Hurd,IR,SF,WR
114,Chris Thompson,IR,SF,WR
115,Deebo Samuel,O,SF,WR
116,Travis Benjamin,O,SF,WR
117,Charlie Woerner,O,SF,TE
118,Phillip Dorsett,IR,SEA,WR
119,Greg Olsen,IR,SEA,TE
120,John Franklin,IR,TB,WR
121,Kalif Raymond,O,TEN,WR
122,Adam Humphries,IR,TEN,WR
123,Geoff Swaim,Q,TEN,TE
124,Alex Smith,O,WSH,QB
125,Antonio Gibson,D,WSH,RB
126,Antonio Gandy-Golden,IR,WSH,WR
127,Kelvin Harmon,O,WSH,WR
128,Emanuel Hall,O,WSH,WR
129,Temarrick Hemingway,IR,WSH,TE
