,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,KC,DEF,3,2,2,-,1,-,1,16,24.00
1,SF,DEF,2,4,-,-,-,-,-,6,17.00
2,WSH,DEF,6,1,-,1,-,-,-,3,17.00
3,LAR,DEF,4,2,-,-,-,-,-,4,15.00
4,BUF,DEF,6,2,-,-,-,-,-,10,14.00
5,CHI,DEF,1,-,1,-,1,-,-,24,9.00
6,PHI,DEF,3,1,2,-,-,-,-,21,9.00
7,CLE,DEF,4,1,1,-,-,-,-,34,7.00
8,ARI,DEF,2,3,-,-,-,-,-,34,7.00
9,TB,DEF,3,1,-,-,-,-,-,20,6.00
10,LAC,DEF,5,-,1,-,-,-,-,29,6.00
11,GB,DEF,3,-,1,-,-,-,-,20,6.00
12,TEN,DEF,-,3,-,-,-,-,-,27,6.00
13,NYG,DEF,3,1,-,-,-,-,-,22,5.00
14,NYJ,DEF,2,-,1,-,-,-,-,18,5.00
15,DET,DEF,2,-,1,-,-,-,-,22,4.00
16,NE,DEF,1,2,-,-,-,-,-,33,4.00
17,JAX,DEF,1,-,-,-,1,-,-,39,3.00
18,CAR,DEF,1,-,1,-,-,-,-,27,3.00
19,DEN,DEF,4,-,1,-,-,-,-,37,2.00
20,DAL,DEF,2,-,-,-,-,-,-,23,2.00
21,ATL,DEF,2,-,-,-,-,-,-,23,2.00
22,PIT,DEF,2,-,-,-,-,-,-,24,2.00
23,NO,DEF,1,-,-,-,-,-,-,24,1.00
24,SEA,DEF,-,1,1,-,-,-,-,37,0.00
25,CIN,DEF,-,1,-,-,-,-,-,37,-2.00
26,LV,DEF,-,-,-,-,-,-,-,45,-4.00
27,HOU,DEF,-,-,-,-,-,-,-,35,-4.00
28,IND,DEF,-,-,-,-,-,-,-,-,0.00
29,MIA,DEF,-,-,-,-,-,-,-,-,0.00
30,BAL,DEF,-,-,-,-,-,-,-,-,0.00
31,MIN,DEF,-,-,-,-,-,-,-,-,0.00
