,Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass Rate,Sacks,Rush Att,Rush Yds,Rush YPC,Rush TD,Rec,Rec Yds,Rec Yds/Rec,Rec TD,FR TD,SFTY,FF,FR,Rec FUM,Rush FUM,INT,INT TD
0,SF,451,290,64.3,6.9,2938,23,91.1,25,376,1462,3.9,10,290,3098,10.7,23,0,0,11,7,5,8,11,1
1,CHI,486,307,63.2,7.2,3265,22,92.9,33,403,1659,4.1,10,307,3488,11.4,22,1,1,14,7,4,6,8,0
2,CIN,489,305,62.4,7.2,3416,26,93.1,16,392,1798,4.6,10,305,3497,11.5,26,0,0,6,5,4,3,10,0
3,BUF,493,324,65.7,7,3286,22,91,34,370,1699,4.6,18,324,3475,10.7,22,1,0,14,10,4,5,12,1
4,DEN,496,329,66.3,7,3221,18,91.8,37,391,1885,4.8,20,329,3465,10.5,18,0,0,9,4,3,5,8,0
5,CLE,508,328,64.6,7.3,3451,26,95,35,358,1557,4.3,16,328,3689,11.2,26,0,2,17,10,4,12,10,2
6,TB,573,397,69.3,7.1,3687,27,94,47,332,1162,3.5,9,397,4046,10.2,27,0,1,13,8,2,3,15,1
7,ARI,510,330,64.7,6.9,3229,23,91.8,43,376,1671,4.4,13,330,3536,10.7,23,0,1,13,8,1,4,10,0
8,LAC,464,293,63.1,7,3098,27,94.2,24,382,1733,4.5,15,293,3233,11,27,0,0,6,6,1,7,10,2
9,KC,491,300,61.1,6.9,3221,24,84.3,25,375,1729,4.6,12,300,3366,11.2,24,0,1,9,5,6,1,16,2
10,IND,471,309,65.6,7.5,3304,19,88.1,33,359,1373,3.8,15,309,3525,11.4,19,0,3,13,9,5,4,15,4
11,DAL,449,290,64.6,7.2,3105,31,102.6,26,453,2265,5,18,290,3249,11.2,31,2,0,12,10,2,5,7,0
12,MIA,473,298,63,7.7,3333,16,83.9,37,363,1680,4.6,14,298,3649,12.2,16,2,0,15,9,5,5,16,0
13,PHI,468,320,68.4,7.7,3291,22,102.2,44,420,1758,4.2,19,320,3583,11.2,22,1,1,14,11,3,4,5,1
14,ATL,539,375,69.6,7.9,4028,28,103.2,28,337,1466,4.4,14,375,4241,11.3,28,0,0,17,9,4,8,9,1
15,WSH,468,298,63.7,6.6,2803,20,85.2,40,364,1574,4.3,11,298,3077,10.3,20,1,1,12,5,1,5,13,2
16,NYG,501,342,68.3,7.4,3425,20,94.8,34,365,1425,3.9,12,342,3703,10.8,20,1,0,14,10,8,9,10,1
17,JAX,470,329,70,8.3,3804,31,108,17,447,2051,4.6,18,329,3893,11.8,31,0,0,9,5,4,4,10,1
18,NYJ,521,368,70.6,7.8,3917,30,104.5,24,398,1581,4,14,368,4049,11,30,0,1,13,7,4,9,10,1
19,DET,517,355,68.7,8.4,4175,35,111.3,21,456,2033,4.5,25,355,4348,12.2,35,0,1,13,5,5,5,7,0
20,GB,468,302,64.5,7.3,3187,22,94.9,38,339,1541,4.5,14,302,3420,11.3,22,1,1,10,6,4,3,8,1
21,CAR,506,350,69.2,7,3356,24,100.5,24,359,1672,4.7,16,350,3532,10.1,24,2,0,11,13,3,6,5,0
22,NE,420,280,66.7,7.4,2974,17,86.1,21,408,1862,4.6,15,280,3112,11.1,17,1,0,4,4,1,2,16,1
23,LV,504,319,63.3,7.4,3635,24,93.2,16,381,1761,4.6,23,319,3726,11.7,24,0,0,8,5,3,2,10,0
24,LAR,489,308,63,6.1,2688,15,79.1,44,346,1317,3.8,11,308,2984,9.7,15,1,0,11,8,1,7,13,2
25,BAL,534,350,65.5,6.6,3273,21,90.9,33,351,1539,4.4,12,350,3508,10,21,3,2,25,12,11,7,8,0
26,NO,520,315,60.6,6.7,3226,28,88,42,370,1428,3.9,10,315,3488,11.1,28,0,1,7,8,0,5,13,1
27,SEA,594,401,67.5,7.2,4102,22,91.8,40,339,1325,3.9,17,401,4304,10.7,22,0,3,12,7,2,6,13,0
28,PIT,465,260,55.9,6.5,2706,20,74.9,47,355,1464,4.1,9,260,3028,11.6,20,0,1,12,8,4,6,17,3
29,HOU,476,330,69.3,7.9,3529,27,108.9,32,419,2107,5,18,330,3738,11.3,27,0,0,7,5,1,2,3,1
30,TEN,565,373,66,7,3864,29,93.9,14,373,1603,4.3,15,373,3977,10.7,29,1,0,12,8,5,9,13,0
31,MIN,510,338,66.3,7.8,3853,27,96,22,450,2022,4.5,17,338,3974,11.8,27,0,1,10,6,2,5,14,0
