,Team,Pass Att,Pass Cmp,Pass Cmp %,Pass Yds/Att,Pass Yds,Pass TD,Pass INT,Pass Rate,Sacks,Rush Att,Rush Yds,Rush YPC,Rush TD,Rush FUM,Rec,Rec Yds,Rec Yds/Rec,Rec TD,Rec FUM,Tot TD,2PT
0,SF,468,307,65.6,7.6,3546,18,15,87.8,31,347,1426,4.1,17,6,307,3546,11.6,18,1,36,1
1,CHI,515,330,64.1,6.2,3206,23,13,85.8,33,287,1212,4.2,6,1,330,3206,9.7,23,4,31,2
2,CIN,509,330,64.8,6.5,3285,16,9,86.1,46,318,1200,3.8,9,8,330,3285,10,16,4,26,0
3,BUF,518,356,68.7,7.8,4054,32,9,105.3,26,355,1515,4.3,13,6,356,4054,11.4,32,2,47,0
4,DEN,468,268,57.3,6.6,3070,19,21,72,28,382,1663,4.4,11,7,268,3070,11.5,19,6,31,1
5,CLE,389,243,62.5,7.5,2923,24,8,97.4,17,416,2031,4.9,16,6,243,2923,12,24,6,42,2
6,TB,498,322,64.7,7,3496,30,11,96.1,16,303,1263,4.2,12,3,322,3496,10.9,30,4,43,0
7,ARI,461,309,67,7,3231,23,10,94.7,21,404,1966,4.9,20,8,309,3231,10.5,23,3,43,0
8,LAC,563,370,65.7,7.1,3993,27,10,95,29,411,1560,3.8,10,8,370,3993,10.8,27,3,39,1
9,KC,506,347,68.6,8.4,4255,33,5,111.9,19,324,1452,4.5,11,4,347,4255,12.3,33,6,48,2
10,IND,462,311,67.3,7.6,3524,20,9,96.3,15,371,1469,4,15,1,311,3524,11.3,20,3,41,2
11,DAL,528,342,64.8,6.9,3669,20,11,89,34,347,1442,4.2,10,7,342,3669,10.7,20,3,32,4
12,MIA,439,288,65.6,7.1,3123,21,9,93.8,28,341,1238,3.6,10,5,288,3123,10.8,21,2,34,3
13,PHI,482,276,57.3,6.1,2929,18,16,73.7,53,316,1641,5.2,12,11,276,2929,10.6,18,1,34,7
14,ATL,500,318,63.6,7.4,3699,20,11,90.1,33,347,1278,3.7,12,3,318,3699,11.6,20,1,33,1
15,WSH,467,303,64.9,6.5,3048,12,10,83,40,334,1316,3.9,17,2,303,3048,10.1,12,7,32,0
16,NYG,419,261,62.3,6.3,2634,9,10,77.4,41,338,1515,4.5,12,3,261,2634,10.1,9,3,23,2
17,JAX,508,315,62,6.4,3257,19,14,81.5,32,282,1328,4.7,9,3,315,3257,10.3,19,2,31,3
18,NYJ,401,230,57.4,6,2424,11,12,71.7,36,316,1348,4.3,7,2,230,2424,10.5,11,2,19,1
19,DET,482,306,63.5,7.6,3645,23,10,93.8,37,303,1174,3.9,13,2,306,3645,11.9,23,1,36,2
20,GB,477,332,69.6,8,3828,40,4,118,19,387,1805,4.7,13,3,332,3828,11.5,40,3,55,2
21,CAR,485,336,69.3,7.5,3661,15,10,93,29,352,1517,4.3,17,4,336,3661,10.9,15,3,34,1
22,NE,361,235,65.1,7.1,2576,8,14,77.3,28,427,1918,4.5,19,6,235,2576,11,8,4,31,1
23,LV,479,324,67.6,7.7,3676,25,8,100.9,22,410,1706,4.2,17,8,324,3676,11.3,25,3,42,0
24,LAR,475,324,68.2,7.4,3509,18,11,92.7,17,395,1676,4.2,19,3,324,3509,10.8,18,4,40,1
25,BAL,335,210,62.7,7.1,2365,19,9,91.4,31,424,2259,5.3,19,9,210,2365,11.3,19,3,42,2
26,NO,428,312,72.9,7.5,3191,22,5,106.2,26,402,1785,4.4,21,9,312,3191,10.2,22,4,44,0
27,SEA,468,330,70.5,7.9,3718,36,12,108.9,41,334,1574,4.7,12,6,330,3718,11.3,36,3,48,1
28,PIT,525,348,66.3,6.3,3301,29,9,94.8,11,316,1158,3.7,10,6,348,3301,9.5,29,6,42,2
29,HOU,432,297,68.8,8.7,3761,25,6,109.2,40,289,1121,3.9,8,6,297,3761,12.7,25,3,34,1
30,TEN,405,266,65.7,7.9,3216,28,5,107.8,20,415,2051,4.9,18,3,266,3216,12.1,28,3,49,3
31,MIN,400,270,67.5,8.2,3298,27,12,102.7,31,392,1910,4.9,15,4,270,3298,12.2,27,2,42,8
