,Name,Team,Position,Salary
314,Derrick Henry,TEN,RB,10400.0
477,Christian McCaffrey,CAR,RB,10000.0
460,Dalvin Cook,MIN,RB,9700.0
542,Patrick Mahomes,KC,QB,9400.0
454,Tyreek Hill,KC,WR,9400.0
405,Davante Adams,GB,WR,9200.0
451,Nick Chubb,CLE,RB,9000.0
750,Aaron Rodgers,GB,QB,9000.0
602,Josh Allen,BUF,QB,8800.0
624,Lamar Jackson,BAL,QB,8800.0
284,Travis Kelce,KC,TE,8800.0
688,Calvin Ridley,ATL,WR,8700.0
125,DeAndre Hopkins,ARI,WR,8700.0
641,Kyler Murray,ARI,QB,8700.0
336,Aaron Jones,GB,RB,8600.0
159,Stefon Diggs,BUF,WR,8500.0
377,Alvin Kamara,NO,RB,8500.0
474,Deshaun Watson,HOU,QB,8500.0
757,Justin Herbert,LAC,QB,8200.0
853,AJ Brown,TEN,WR,8200.0
767,Jalen Hurts,PHI,QB,8200.0
218,Keenan Allen,LAC,WR,8000.0
717,Tom Brady,TB,QB,8000.0
129,Ryan Tannehill,TEN,QB,7900.0
131,Russell Wilson,SEA,QB,7900.0
912,Brandon Aiyuk,SF,WR,7800.0
862,David Montgomery,CHI,RB,7800.0
909,Justin Jefferson,MIN,WR,7800.0
729,Matt Ryan,ATL,QB,7700.0
400,Taysom Hill,NO,QB,7700.0
856,DK Metcalf,SEA,WR,7700.0
718,Drew Brees,NO,QB,7700.0
360,Baker Mayfield,CLE,QB,7600.0
223,Marcus Mariota,LV,QB,7600.0
851,Josh Jacobs,LV,RB,7600.0
158,Darren Waller,LV,TE,7600.0
936,Jonathan Taylor,IND,RB,7500.0
208,Allen Robinson,CHI,WR,7500.0
319,Adam Thielen,MIN,WR,7500.0
106,Julio Jones,ATL,WR,7500.0
727,Ben Roethlisberger,PIT,QB,7500.0
278,Mike Evans,TB,WR,7500.0
301,Jared Goff,LAR,QB,7400.0
426,Joe Mixon,CIN,RB,7400.0
732,Matthew Stafford,DET,QB,7400.0
232,Robert Woods,LAR,WR,7300.0
833,Miles Sanders,PHI,RB,7300.0
650,Ronald Jones,TB,RB,7300.0
394,Kareem Hunt,CLE,RB,7200.0
398,Corey Davis,TEN,WR,7200.0
945,D'Andre Swift,DET,RB,7200.0
104,Cam Newton,NE,QB,7200.0
620,DJ Moore,CAR,WR,7200.0
305,Mitchell Trubisky,CHI,QB,7200.0
940,Tua Tagovailoa,MIA,QB,7200.0
495,Chris Godwin,TB,WR,7200.0
672,Chris Carson,SEA,RB,7100.0
285,Teddy Bridgewater,CAR,QB,7100.0
518,Terry McLaurin,WSH,WR,7100.0
404,Derek Carr,LV,QB,7000.0
137,Kirk Cousins,MIN,QB,7000.0
443,Leonard Fournette,TB,RB,7000.0
207,Michael Thomas,NO,WR,7000.0
881,Austin Ekeler,LAC,RB,7000.0
227,Brandin Cooks,HOU,WR,7000.0
871,Philip Rivers,IND,QB,7000.0
463,Kenny Golladay,DET,WR,7000.0
310,Ezekiel Elliott,DAL,RB,7000.0
425,Mark Andrews,BAL,TE,7000.0
246,Mike Davis,CAR,RB,6900.0
109,Andy Dalton,DAL,QB,6900.0
177,Tyler Lockett,SEA,WR,6900.0
873,Cooper Kupp,LAR,WR,6800.0
507,JuJu Smith-Schuster,PIT,WR,6800.0
667,Drew Lock,DEN,QB,6800.0
362,Nick Mullens,SF,QB,6800.0
192,CJ Beathard,SF,QB,6800.0
79,James Robinson,JAX,RB,6800.0
138,Marvin Jones,DET,WR,6800.0
468,Jimmy Garoppolo,SF,QB,6800.0
594,Gardner Minshew,JAX,QB,6800.0
861,Dwayne Haskins,WSH,QB,6700.0
604,David Johnson,HOU,RB,6700.0
649,Sam Darnold,NYJ,QB,6700.0
728,Diontae Johnson,PIT,WR,6700.0
933,Cam Akers,LAR,RB,6700.0
883,Alex Smith,WSH,QB,6700.0
259,Brandon Allen,CIN,QB,6600.0
171,Robby Anderson,CAR,WR,6600.0
922,Salvon Ahmed,MIA,RB,6600.0
34,Antonio Brown,TB,WR,6600.0
910,Clyde Edwards-Helaire,KC,RB,6600.0
941,Antonio Gibson,WSH,RB,6600.0
408,Ryan Finley,CIN,QB,6600.0
568,Myles Gaskin,MIA,RB,6600.0
254,Amari Cooper,DAL,WR,6600.0
643,Daniel Jones,NYG,QB,6500.0
155,Jameis Winston,NO,QB,6500.0
253,Kenyan Drake,ARI,RB,6500.0
263,Jarvis Landry,CLE,WR,6500.0
928,Chase Daniel,DET,QB,6500.0
163,Mike Glennon,JAX,QB,6500.0
133,Nick Foles,CHI,QB,6500.0
30,Colt McCoy,NYG,QB,6500.0
784,Carson Wentz,PHI,QB,6500.0
286,DeVante Parker,MIA,WR,6400.0
865,Ryan Fitzpatrick,MIA,QB,6400.0
888,Robert Tonyan,GB,TE,6400.0
134,TY Hilton,IND,WR,6400.0
366,Phillip Walker,CAR,QB,6400.0
197,Le'Veon Bell,KC,RB,6400.0
213,Melvin Gordon,DEN,RB,6400.0
736,Joe Flacco,NYJ,QB,6300.0
210,Raheem Mostert,SF,RB,6300.0
926,JK Dobbins,BAL,RB,6300.0
273,Garrett Gilbert,DAL,QB,6300.0
658,Tony Pollard,DAL,RB,6300.0
249,Nathan Peterman,LV,QB,6300.0
118,Tyrod Taylor,LAC,QB,6200.0
825,TJ Hockenson,DET,TE,6200.0
824,Noah Fant,DEN,TE,6200.0
638,Ben DiNucci,DAL,QB,6200.0
444,Jake Luton,JAX,QB,6200.0
144,Case Keenum,CLE,QB,6200.0
508,Deebo Samuel,SF,WR,6200.0
128,Robert Griffin,BAL,QB,6200.0
920,Marquise Brown,BAL,WR,6200.0
677,Keke Coutee,HOU,WR,6100.0
455,Mason Rudolph,PIT,QB,6100.0
140,Cole Beasley,BUF,WR,6100.0
339,Tyler Boyd,CIN,WR,6100.0
579,Brett Rypien,DEN,QB,6100.0
446,Kyle Allen,WSH,QB,6100.0
241,Jeff Driskel,DEN,QB,6100.0
230,Matt Barkley,BUF,QB,6100.0
345,Hunter Henry,LAC,TE,6100.0
341,James Conner,PIT,RB,6100.0
569,Jarrett Stidham,NE,QB,6100.0
870,Brian Hoyer,NE,QB,6100.0
172,Logan Thomas,WSH,TE,6000.0
734,Matt Schaub,ATL,QB,6000.0
175,Geno Smith,SEA,QB,6000.0
593,Josh Thomas,BUF,QB,6000.0
739,Josh McCown,HOU,QB,6000.0
830,Anthony Gordon,SEA,QB,6000.0
269,Dak Prescott,DAL,QB,6000.0
781,Tyler Huntley,BAL,QB,6000.0
772,Darius Bradwell,LAC,QB,6000.0
771,Shea Patterson,KC,QB,6000.0
256,AJ McCarron,HOU,QB,6000.0
250,Tyler Bray,CHI,QB,6000.0
288,Paxton Lynch,PIT,QB,6000.0
292,Ryan Griffin,TB,QB,6000.0
296,Blake Bortles,DEN,QB,6000.0
240,Jacoby Brissett,IND,QB,6000.0
237,Brett Hundley,ARI,QB,6000.0
765,Jacob Eason,IND,QB,6000.0
309,Chris Streveler,ARI,QB,6000.0
312,Danny Etling,SEA,QB,6000.0
226,Sean Mannion,MIN,QB,6000.0
313,Kurt Benkert,ATL,QB,6000.0
320,George Kittle,SF,TE,6000.0
321,Davis Webb,BUF,QB,6000.0
753,Khalil Tate,PHI,QB,6000.0
211,Dare Ogunbowale,JAX,RB,6000.0
334,Joshua Dobbs,PIT,QB,6000.0
337,Tim Boyle,GB,QB,6000.0
199,Trevor Siemian,NO,QB,6000.0
191,Nate Sudfeld,PHI,QB,6000.0
740,Matt Moore,KC,QB,6000.0
751,Jordan Love,GB,QB,6000.0
858,Chase Claypool,PIT,WR,6000.0
467,Alex McGough,SEA,QB,6000.0
107,Blaine Gabbert,TB,QB,6000.0
609,Travis Jonsen,TB,QB,6000.0
575,Kendall Hinton,DEN,QB,6000.0
96,Case Cookus,NYG,QB,6000.0
93,Jalen Morton,GB,QB,6000.0
85,Broc Rutter,SF,QB,6000.0
615,Nick Tiano,HOU,QB,6000.0
82,Kevin Davidson,CLE,QB,6000.0
894,Kyle Lauletta,CLE,QB,6000.0
671,Steven Montez,WSH,QB,6000.0
846,Cole McDonald,TEN,QB,6000.0
480,Clayton Thorson,NYG,QB,6000.0
1,Easton Stick,LAC,QB,6000.0
69,Reid Sinnett,MIA,QB,6000.0
664,Josh Love,LAR,QB,6000.0
493,Jeff Wilson,SF,RB,6000.0
16,Jake Dolegala,NE,QB,6000.0
562,Jake Browning,MIN,QB,6000.0
919,CeeDee Lamb,DAL,WR,6000.0
652,Kyle Shurmur,CIN,QB,6000.0
946,Jake Fromm,BUF,QB,6000.0
514,John Wolford,LAR,QB,6000.0
520,Mike Gesicki,MIA,TE,6000.0
932,Jordan Ta'amu,DET,QB,6000.0
521,Trace McSorley,BAL,QB,6000.0
558,Bryce Perkins,LAR,QB,6000.0
32,Emmanuel Sanders,NO,WR,6000.0
543,DeShone Kizer,TEN,QB,6000.0
582,J'mar Smith,NE,QB,6000.0
631,Joe Burrow,CIN,QB,6000.0
584,James Morgan,NYJ,QB,6000.0
420,Manny Wilkins,GB,QB,6000.0
150,Chad Kelly,IND,QB,6000.0
395,Logan Woodside,TEN,QB,6000.0
596,Tommy Stevens,CAR,QB,6000.0
866,Jared Cook,NO,TE,6000.0
961,Devlin Hodges,PIT,QB,6000.0
392,Cooper Rush,DAL,QB,6000.0
867,Chad Henne,KC,QB,6000.0
434,David Blough,DET,QB,6000.0
162,Giovani Bernard,CIN,RB,6000.0
418,Will Grier,CAR,QB,6000.0
146,Alex Tanney,NYG,QB,6000.0
153,Jamison Crowder,NYJ,WR,6000.0
591,Riley Neal,DEN,QB,6000.0
386,David Fales,NYJ,QB,6000.0
603,Josh Rosen,SF,QB,6000.0
696,Brian Lewerke,NE,QB,6000.0
323,Wayne Gallman,NYG,RB,5900.0
435,Curtis Samuel,CAR,WR,5900.0
442,DJ Chark,JAX,WR,5900.0
414,Tyler Higbee,LAR,TE,5800.0
231,Nelson Agholor,LV,WR,5800.0
380,JD McKissic,WSH,RB,5800.0
895,Chase Edmonds,ARI,RB,5800.0
937,Tee Higgins,CIN,WR,5800.0
690,Damien Harris,NE,RB,5800.0
245,Todd Gurley,ATL,RB,5800.0
441,Russell Gage,ATL,WR,5800.0
402,Rashard Higgins,CLE,WR,5800.0
529,Allen Lazard,GB,WR,5700.0
27,Rob Gronkowski,TB,TE,5700.0
202,Carlos Hyde,SEA,RB,5700.0
503,Chad Hansen,HOU,WR,5700.0
893,Dallas Goedert,PHI,TE,5700.0
324,Mike Williams,LAC,WR,5700.0
960,Jalen Reagor,PHI,WR,5700.0
331,Gus Edwards,BAL,RB,5700.0
778,Michael Gallup,DAL,WR,5600.0
653,Nyheim Hines,IND,RB,5600.0
666,Hayden Hurst,ATL,TE,5600.0
742,Frank Gore,NYJ,RB,5600.0
295,Breshad Perriman,NYJ,WR,5600.0
796,Devin Singletary,BUF,RB,5600.0
555,Tyron Johnson,LAC,WR,5600.0
782,Darrell Henderson,LAR,RB,5600.0
780,Zack Moss,BUF,RB,5500.0
810,Mecole Hardman,KC,WR,5500.0
275,Malcolm Brown,LAR,RB,5500.0
185,Sterling Shepard,NYG,WR,5500.0
235,Zach Ertz,PHI,TE,5500.0
654,Jakobi Meyers,NE,WR,5500.0
161,Eric Ebron,PIT,TE,5500.0
453,Sony Michel,NE,RB,5500.0
105,AJ Green,CIN,WR,5500.0
335,Greg Ward,PHI,WR,5500.0
108,Mark Ingram,BAL,RB,5500.0
534,Tim Patrick,DEN,WR,5500.0
190,Tevin Coleman,SF,RB,5500.0
357,Phillip Lindsay,DEN,RB,5400.0
773,Darnell Mooney,CHI,WR,5400.0
707,Jalen Guyton,LAC,WR,5400.0
539,Tre'Quan Smith,NO,WR,5400.0
415,Jonnu Smith,TEN,TE,5400.0
439,Darrel Williams,KC,RB,5400.0
470,Jerick McKinnon,SF,RB,5400.0
498,James Washington,PIT,WR,5400.0
338,Marquez Valdes-Scantling,GB,WR,5400.0
297,Latavius Murray,NO,RB,5400.0
942,Cole Kmet,CHI,TE,5400.0
151,Sammy Watkins,KC,WR,5400.0
927,Laviska Shenault,JAX,WR,5400.0
