,Unnamed: 0,Name,Team,Position,Salary
0,408,Christian McCaffrey,CAR,RB,10000.0
1,392,Dalvin Cook,MIN,RB,9500.0
2,261,Ezekiel Elliott,DAL,RB,9500.0
3,264,Derrick Henry,TEN,RB,9000.0
4,540,Lamar Jackson,BAL,QB,9000.0
5,468,Patrick Mahomes II,KC,QB,9000.0
6,341,Davante Adams,GB,WR,9000.0
7,107,DeAndre Hopkins,ARI,WR,8800.0
8,519,Josh Allen,BUF,QB,8600.0
9,592,Calvin Ridley,ATL,WR,8600.0
10,282,Aaron Jones,GB,RB,8500.0
11,648,Aaron Rodgers,GB,QB,8400.0
12,552,Kyler Murray,ARI,QB,8400.0
13,387,Tyreek Hill,KC,WR,8300.0
14,91,Julio Jones,ATL,WR,8200.0
15,406,Deshaun Watson,HOU,QB,8200.0
16,384,Nick Chubb,CLE,RB,8000.0
17,89,Cam Newton,NE,QB,8000.0
18,238,Travis Kelce,KC,TE,7900.0
19,252,Jared Goff,LAR,QB,7700.0
20,424,Chris Godwin,TB,WR,7700.0
21,716,Miles Sanders,PHI,RB,7600.0
22,211,Amari Cooper,DAL,WR,7600.0
23,626,Ben Roethlisberger,PIT,QB,7600.0
24,232,Mike Evans,TB,WR,7600.0
25,359,Mark Andrews,BAL,TE,7600.0
26,619,Tom Brady,TB,QB,7500.0
27,205,Mike Davis,CAR,RB,7500.0
28,267,Adam Thielen,MIN,WR,7400.0
29,743,Ryan Fitzpatrick,MIA,QB,7400.0
30,628,Matt Ryan,ATL,QB,7400.0
31,782,Clyde Edwards-Helaire,KC,RB,7400.0
32,807,Jonathan Taylor,IND,RB,7300.0
33,630,Matthew Stafford,DET,QB,7300.0
34,111,Ryan Tannehill,TEN,QB,7300.0
35,395,Kenny Golladay,DET,WR,7200.0
36,514,Gardner Minshew II,JAC,QB,7200.0
37,750,Cooper Kupp,LAR,WR,7100.0
38,435,JuJu Smith-Schuster,PIT,WR,7100.0
39,545,Joe Burrow,CIN,QB,7100.0
40,134,Stefon Diggs,BUF,WR,7100.0
41,287,James Conner,PIT,RB,7100.0
42,117,Kirk Cousins,MIN,QB,7100.0
43,94,Andy Dalton,DAL,QB,7000.0
44,301,Baker Mayfield,CLE,QB,7000.0
45,174,Allen Robinson II,CHI,WR,7000.0
46,676,Carson Wentz,PHI,QB,7000.0
47,333,Kareem Hunt,CLE,RB,7000.0
48,256,Mitchell Trubisky,CHI,QB,7000.0
49,732,Alexander Mattison,MIN,RB,7000.0
50,446,Terry McLaurin,WSH,WR,6900.0
51,268,George Kittle,SF,TE,6900.0
52,239,Teddy Bridgewater,CAR,QB,6900.0
53,490,Jarrett Stidham,NE,QB,6900.0
54,360,Joe Mixon,CIN,RB,6900.0
55,114,Nick Foles,CHI,QB,6900.0
56,748,Philip Rivers,IND,QB,6800.0
57,747,Brian Hoyer,NE,QB,6800.0
58,558,Sam Darnold,NYJ,QB,6800.0
59,536,D.J. Moore,CAR,WR,6800.0
