,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
0,0,416,Christian McCaffrey,CAR,RB,9500.0
1,1,355,Davante Adams,GB,WR,9400.0
2,2,400,Dalvin Cook,MIN,RB,9300.0
3,3,473,Patrick Mahomes,KC,QB,9300.0
4,4,118,Russell Wilson,SEA,QB,9000.0
5,5,331,Alvin Kamara,NO,RB,9000.0
6,6,279,Derrick Henry,TEN,RB,8900.0
7,7,113,DeAndre Hopkins,ARI,WR,8800.0
8,8,560,Kyler Murray,ARI,QB,8600.0
9,9,190,Michael Thomas,NO,WR,8600.0
10,10,297,Aaron Jones,GB,RB,8400.0
11,11,414,Deshaun Watson,HOU,QB,8300.0
12,12,394,Tyreek Hill,KC,WR,8300.0
13,13,524,Josh Allen,BUF,QB,8200.0
14,14,94,Julio Jones,ATL,WR,8200.0
15,15,301,James Conner,PIT,RB,8200.0
16,16,741,DK Metcalf,SEA,WR,8100.0
17,17,652,Aaron Rodgers,GB,QB,8100.0
18,18,547,Lamar Jackson,BAL,QB,8100.0
19,19,252,Travis Kelce,KC,TE,8000.0
20,20,275,Ezekiel Elliott,DAL,RB,8000.0
21,21,602,Calvin Ridley,ATL,WR,8000.0
22,22,658,Justin Herbert,LAC,QB,7900.0
23,23,623,Tom Brady,TB,QB,7800.0
24,24,223,Mike Davis,CAR,RB,7800.0
25,25,284,Adam Thielen,MIN,WR,7700.0
26,26,624,Drew Brees,NO,QB,7700.0
27,27,736,Josh Jacobs,LV,RB,7700.0
28,28,631,Ben Roethlisberger,PIT,QB,7700.0
29,29,738,AJ Brown,TEN,WR,7600.0
30,30,633,Matt Ryan,ATL,QB,7600.0
31,31,144,Stefon Diggs,BUF,WR,7600.0
32,32,93,Cam Newton,NE,QB,7600.0
33,33,588,Chris Carson,SEA,RB,7600.0
34,34,433,Chris Godwin,TB,WR,7600.0
35,35,352,Jamaal Williams,GB,RB,7500.0
36,36,636,Matthew Stafford,DET,QB,7500.0
37,37,200,Keenan Allen,LAC,WR,7500.0
38,38,246,Mike Evans,TB,WR,7500.0
39,39,774,Chase Edmonds,ARI,RB,7400.0
40,40,161,Tyler Lockett,SEA,WR,7400.0
41,41,285,George Kittle,SF,TE,7400.0
42,42,117,Ryan Tannehill,TEN,QB,7400.0
43,43,72,James Robinson,JAC,RB,7300.0
44,44,253,Teddy Bridgewater,CAR,QB,7300.0
45,45,403,Kenny Golladay,DET,WR,7300.0
46,46,583,Drew Lock,DEN,QB,7200.0
47,47,452,Terry McLaurin,WSH,WR,7200.0
48,48,329,Will Fuller,HOU,WR,7100.0
49,49,123,Kirk Cousins,MIN,QB,7100.0
50,50,354,Derek Carr,LV,QB,7000.0
51,51,543,DJ Moore,CAR,WR,7000.0
52,52,787,Clyde Edwards-Helaire,KC,RB,7000.0
53,53,229,Amari Cooper,DAL,WR,7000.0
54,54,517,Gardner Minshew,JAC,QB,7000.0
55,55,755,Philip Rivers,IND,QB,6900.0
56,56,222,Todd Gurley,ATL,RB,6900.0
57,57,191,Allen Robinson,CHI,WR,6900.0
58,58,408,Jimmy Garoppolo,SF,QB,6900.0
59,59,562,Daniel Jones,NYG,QB,6900.0
60,60,388,Kyle Allen,WSH,QB,6800.0
61,61,193,Raheem Mostert,SF,RB,6800.0
62,62,120,Nick Foles,CHI,QB,6800.0
63,63,526,David Johnson,HOU,RB,6800.0
64,64,786,Justin Jefferson,MIN,WR,6800.0
65,65,789,Brandon Aiyuk,SF,WR,6700.0
66,66,815,Tua Tagovailoa,MIA,QB,6700.0
67,67,558,Ben DiNucci,DAL,QB,6600.0
68,68,196,Melvin Gordon,DEN,RB,6600.0
69,69,371,Mark Andrews,BAL,TE,6600.0
70,70,568,Sam Darnold,NYJ,QB,6600.0
71,71,97,Andy Dalton,DAL,QB,6600.0
72,72,155,Robby Anderson,CAR,WR,6600.0
73,73,316,Nick Mullens,SF,QB,6500.0
74,74,754,Brian Hoyer,NE,QB,6500.0
75,75,147,Mike Glennon,JAC,QB,6500.0
76,76,386,Jake Luton,JAC,QB,6500.0
77,77,175,CJ Beathard,SF,QB,6500.0
78,78,763,Austin Ekeler,LAC,RB,6500.0
79,79,442,JuJu Smith-Schuster,PIT,WR,6500.0
80,80,31,Antonio Brown,TB,WR,6500.0
81,81,812,Jonathan Taylor,IND,RB,6400.0
82,82,384,DJ Chark,JAC,WR,6400.0
83,83,569,Ronald Jones,TB,RB,6400.0
84,84,272,Mitchell Trubisky,CHI,QB,6400.0
85,85,143,Darren Waller,LV,TE,6400.0
86,86,746,Dwayne Haskins,WSH,QB,6400.0
87,87,749,Ryan Fitzpatrick,MIA,QB,6400.0
88,88,243,Garrett Gilbert,DAL,QB,6300.0
89,89,743,Chase Claypool,PIT,WR,6300.0
90,90,106,Tyrod Taylor,LAC,QB,6300.0
91,91,495,Jarrett Stidham,NE,QB,6300.0
92,92,640,Joe Flacco,NYJ,QB,6300.0
93,93,254,DeVante Parker,MIA,WR,6300.0
94,94,138,Jamison Crowder,NYJ,WR,6300.0
95,95,289,Mike Williams,LAC,WR,6200.0
96,96,765,Alex Smith,WSH,QB,6200.0
97,97,431,Jeff Wilson,SF,RB,6200.0
98,98,816,Antonio Gibson,WSH,RB,6200.0
99,99,29,Emmanuel Sanders,NO,WR,6100.0
100,100,124,Marvin Jones,DET,WR,6100.0
101,101,218,Jeff Driskel,DEN,QB,6100.0
102,102,211,Matt Barkley,BUF,QB,6100.0
103,103,504,Brett Rypien,DEN,QB,6100.0
104,104,770,Robert Tonyan,GB,TE,6100.0
105,105,208,Brandin Cooks,HOU,WR,6100.0
106,106,642,Matt Moore,KC,QB,6000.0
107,107,182,Trevor Siemian,TEN,QB,6000.0
108,108,204,Marcus Mariota,LV,QB,6000.0
109,109,264,Blake Bortles,DEN,QB,6000.0
110,110,719,Anthony Gordon,SEA,QB,6000.0
111,111,679,Tyler Huntley,BAL,QB,6000.0
112,112,207,Sean Mannion,MIN,QB,6000.0
113,113,260,Ryan Griffin,TB,QB,6000.0
114,114,274,Chris Streveler,ARI,QB,6000.0
115,115,507,J'mar Smith,NE,QB,6000.0
116,116,140,Jameis Winston,NO,QB,6000.0
117,117,501,Kendall Hinton,DEN,QB,6000.0
118,118,653,Jordan Love,GB,QB,6000.0
119,119,231,AJ McCarron,HOU,QB,6000.0
120,120,256,Paxton Lynch,PIT,QB,6000.0
121,121,227,Tyler Bray,CHI,QB,6000.0
122,122,671,Darius Bradwell,LAC,QB,6000.0
123,123,419,Clayton Thorson,NYG,QB,6000.0
124,124,666,Jacob Eason,IND,QB,6000.0
125,125,239,Dak Prescott,DAL,QB,6000.0
126,126,228,Kenyan Drake,ARI,RB,6000.0
127,127,277,Danny Etling,SEA,QB,6000.0
128,128,1,Easton Stick,LAC,QB,6000.0
129,129,715,TJ Hockenson,DET,TE,6000.0
130,130,670,Shea Patterson,KC,QB,6000.0
