,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,Baltimore Ravens,DEF,7,1,2,-,1,-,-,3,26.00
1,Cleveland Browns,DEF,1,2,-,1,1,-,-,23,13.00
2,Miami Dolphins,DEF,5,2,1,-,-,-,-,17,12.00
3,Los Angeles Rams,DEF,8,-,-,-,-,-,-,10,12.00
4,Indianapolis Colts,DEF,1,2,-,-,-,-,1,24,11.00
5,New York Giants,DEF,2,1,1,-,1,-,-,31,11.00
6,Dallas Cowboys,DEF,2,-,1,-,1,-,-,28,9.00
7,Houston Texans,DEF,4,-,2,-,-,-,-,14,9.00
8,Pittsburgh Steelers,DEF,5,2,-,-,-,-,-,29,8.00
9,Tennessee Titans,DEF,1,2,1,-,-,-,-,16,8.00
10,Arizona Cardinals,DEF,3,-,-,-,-,-,-,10,7.00
11,Seattle Seahawks,DEF,3,1,1,-,-,-,-,26,7.00
12,Chicago Bears,DEF,3,-,1,-,-,-,-,19,6.00
13,Tampa Bay Buccaneers,DEF,3,1,-,-,-,-,-,20,6.00
14,Minnesota Vikings,DEF,4,1,-,-,-,-,-,27,6.00
15,Carolina Panthers,DEF,2,1,-,-,-,-,-,16,5.00
16,Jacksonville Jaguars,DEF,1,2,-,-,-,-,-,30,4.00
17,Las Vegas Raiders,DEF,3,1,-,-,-,-,-,32,4.00
18,Cincinnati Bengals,DEF,1,1,-,-,-,-,-,21,3.00
19,Los Angeles Chargers,DEF,2,1,-,-,-,-,-,30,3.00
20,New Orleans Saints,DEF,3,-,-,-,-,-,-,27,3.00
21,Washington Football Team,DEF,1,1,-,-,-,-,-,30,2.00
22,New York Jets,DEF,1,1,-,-,-,-,-,30,2.00
23,Atlanta Falcons,DEF,-,-,-,-,-,-,-,23,0.00
24,Kansas City Chiefs,DEF,1,1,-,-,-,-,-,40,-1.00
25,Philadelphia Eagles,DEF,1,-,1,-,-,-,-,38,-1.00
26,San Francisco 49ers,DEF,2,-,-,-,-,-,-,43,-2.00
27,Buffalo Bills,DEF,-,-,-,-,-,-,-,42,-4.00
28,Denver Broncos,DEF,-,-,-,-,-,-,-,-,0.00
29,Detroit Lions,DEF,-,-,-,-,-,-,-,-,0.00
30,Green Bay Packers,DEF,-,-,-,-,-,-,-,-,0.00
31,New England Patriots,DEF,-,-,-,-,-,-,-,-,0.00
