,Name,Team,Position,Salary
458,Dalvin Cook,MIN,RB,11000.0
475,Christian McCaffrey,CAR,RB,10000.0
403,Davante Adams,GB,WR,9500.0
637,Kyler Murray,ARI,QB,9100.0
540,Patrick Mahomes II,KC,QB,9000.0
131,Russell Wilson,SEA,QB,8800.0
472,Deshaun Watson,HOU,QB,8700.0
375,Alvin Kamara,NO,RB,8600.0
746,Aaron Rodgers,GB,QB,8600.0
599,Josh Allen,BUF,QB,8600.0
452,Tyreek Hill,KC,WR,8600.0
309,Ezekiel Elliott,DAL,RB,8500.0
125,DeAndre Hopkins,ARI,WR,8500.0
753,Justin Herbert,LAC,QB,8400.0
449,Nick Chubb,CLE,RB,8400.0
852,D.K. Metcalf,SEA,WR,8400.0
621,Lamar Jackson,BAL,QB,8300.0
313,Derrick Henry,TEN,RB,8300.0
335,Aaron Jones,GB,RB,8200.0
219,Keenan Allen,LAC,WR,8200.0
684,Calvin Ridley,ATL,WR,8100.0
723,Ben Roethlisberger,PIT,QB,8000.0
106,Julio Jones,ATL,WR,8000.0
283,Travis Kelce,KC,TE,8000.0
668,Chris Carson,SEA,RB,8000.0
847,Josh Jacobs,LV,RB,8000.0
177,Tyler Lockett,SEA,WR,7900.0
516,Terry McLaurin,WAS,WR,7900.0
713,Tom Brady,TB,QB,7900.0
159,Stefon Diggs,BUF,WR,7900.0
318,Adam Thielen,MIN,WR,7800.0
104,Cam Newton,NE,QB,7700.0
208,Michael Thomas,NO,WR,7700.0
780,Carson Wentz,PHI,QB,7600.0
725,Matt Ryan,ATL,QB,7600.0
714,Drew Brees,NO,QB,7500.0
424,Joe Mixon,CIN,RB,7500.0
849,A.J. Brown,TEN,WR,7500.0
129,Ryan Tannehill,TEN,QB,7500.0
829,Miles Sanders,PHI,RB,7500.0
79,James Robinson,JAC,RB,7400.0
373,Will Fuller V,HOU,WR,7400.0
493,Chris Godwin,TB,WR,7400.0
109,Andy Dalton,DAL,QB,7400.0
861,Ryan Fitzpatrick,MIA,QB,7400.0
617,D.J. Moore,CAR,WR,7300.0
398,Taysom Hill,NO,QB,7300.0
340,James Conner,PIT,RB,7300.0
940,D'Andre Swift,DET,RB,7200.0
254,Amari Cooper,DAL,WR,7200.0
639,Daniel Jones,NYG,QB,7200.0
247,Mike Davis,CAR,RB,7200.0
728,Matthew Stafford,DET,QB,7200.0
137,Kirk Cousins,MIN,QB,7100.0
402,Derek Carr,LV,QB,7100.0
277,Mike Evans,TB,WR,7100.0
158,Darren Waller,LV,TE,7100.0
211,Raheem Mostert,SF,RB,7000.0
591,Gardner Minshew II,JAC,QB,7000.0
155,Jameis Winston,NO,QB,7000.0
423,Mark Andrews,BAL,TE,7000.0
300,Jared Goff,LAR,QB,7000.0
903,Justin Jefferson,MIN,WR,7000.0
284,Teddy Bridgewater,CAR,QB,7000.0
879,Alex Smith,WAS,QB,7000.0
461,Kenny Golladay,DET,WR,7000.0
246,Todd Gurley II,ATL,RB,6900.0
338,Tyler Boyd,CIN,WR,6900.0
359,Baker Mayfield,CLE,QB,6900.0
133,Nick Foles,CHI,QB,6800.0
867,Philip Rivers,IND,QB,6800.0
724,Diontae Johnson,PIT,WR,6800.0
214,Melvin Gordon III,DEN,RB,6800.0
233,Robert Woods,LAR,WR,6800.0
935,Tua Tagovailoa,MIA,QB,6800.0
936,Antonio Gibson,WAS,RB,6800.0
209,Allen Robinson II,CHI,WR,6800.0
904,Clyde Edwards-Helaire,KC,RB,6700.0
869,Cooper Kupp,LAR,WR,6700.0
663,Drew Lock,DEN,QB,6700.0
854,Chase Claypool,PIT,WR,6600.0
466,Jimmy Garoppolo,SF,QB,6600.0
360,Nick Mullens,SF,QB,6600.0
392,Kareem Hunt,CLE,RB,6600.0
906,Brandon Aiyuk,SF,WR,6600.0
646,Ronald Jones II,TB,RB,6500.0
732,Joe Flacco,NYJ,QB,6500.0
645,Sam Darnold,NYJ,QB,6500.0
857,Dwayne Haskins,WAS,QB,6500.0
877,Austin Ekeler,LAC,RB,6500.0
285,DeVante Parker,MIA,WR,6500.0
34,Antonio Brown,TB,WR,6500.0
545,Travis Fulgham,PHI,WR,6500.0
228,Brandin Cooks,HOU,WR,6500.0
913,CeeDee Lamb,DAL,WR,6500.0
364,Phillip Walker,CAR,QB,6500.0
272,Garrett Gilbert,DAL,QB,6400.0
931,Jonathan Taylor,IND,RB,6400.0
304,Mitchell Trubisky,CHI,QB,6400.0
601,David Johnson,HOU,RB,6400.0
171,Robby Anderson,CAR,WR,6400.0
442,Jake Luton,JAC,QB,6400.0
406,Ryan Finley,CIN,QB,6300.0
153,Jamison Crowder,NYJ,WR,6300.0
118,Tyrod Taylor,LAC,QB,6200.0
27,Rob Gronkowski,TB,TE,6200.0
144,Case Keenum,CLE,QB,6200.0
193,C.J. Beathard,SF,QB,6200.0
634,Ben DiNucci,DAL,QB,6200.0
163,Mike Glennon,JAC,QB,6200.0
505,JuJu Smith-Schuster,PIT,WR,6200.0
253,Kenyan Drake,ARI,RB,6200.0
888,Dallas Goedert,PHI,TE,6200.0
932,Tee Higgins,CIN,WR,6200.0
231,Matt Barkley,BUF,QB,6100.0
576,Brett Rypien,DEN,QB,6100.0
566,Jarrett Stidham,NE,QB,6100.0
561,Christian Kirk,ARI,WR,6100.0
167,Duke Johnson Jr.,HOU,RB,6100.0
440,D.J. Chark Jr.,JAC,WR,6100.0
444,Kyle Allen,WAS,QB,6100.0
763,Jalen Hurts,PHI,QB,6100.0
453,Mason Rudolph,PIT,QB,6100.0
242,Jeff Driskel,DEN,QB,6100.0
162,Giovani Bernard,CIN,RB,6100.0
323,Mike Williams,LAC,WR,6100.0
866,Brian Hoyer,NE,QB,6100.0
238,Brett Hundley,ARI,QB,6000.0
227,Sean Mannion,MIN,QB,6000.0
224,Marcus Mariota,LV,QB,6000.0
259,Brandon Allen,CIN,QB,6000.0
256,AJ McCarron,HOU,QB,6000.0
241,Jacoby Brissett,IND,QB,6000.0
768,Darius Bradwell,LAC,QB,6000.0
767,Shea Patterson,KC,QB,6000.0
250,Nathan Peterman,LV,QB,6000.0
200,Trevor Siemian,NO,QB,6000.0
777,Tyler Huntley,BAL,QB,6000.0
251,Tyler Bray,CHI,QB,6000.0
268,Dak Prescott,DAL,QB,6000.0
236,Zach Ertz,PHI,TE,6000.0
291,Ryan Griffin,TB,QB,6000.0
287,Paxton Lynch,PIT,QB,6000.0
761,Jacob Eason,IND,QB,6000.0
667,Steven Montez,WAS,QB,6000.0
660,Josh Love,LAR,QB,6000.0
465,Alex McGough,HOU,QB,6000.0
478,Clayton Thorson,NYG,QB,6000.0
1,Easton Stick,LAC,QB,6000.0
648,Kyle Shurmur,KC,QB,6000.0
506,Deebo Samuel,SF,WR,6000.0
512,John Wolford,LAR,QB,6000.0
519,Trace McSorley,BAL,QB,6000.0
628,Joe Burrow,CIN,QB,6000.0
541,DeShone Kizer,TEN,QB,6000.0
612,Nick Tiano,HOU,QB,6000.0
606,Travis Jonsen,TB,QB,6000.0
556,Bryce Perkins,LAR,QB,6000.0
600,Josh Rosen,TB,QB,6000.0
559,Jake Browning,MIN,QB,6000.0
593,Tommy Stevens,CAR,QB,6000.0
590,Josh Thomas,BUF,QB,6000.0
588,Riley Neal,DEN,QB,6000.0
572,Kendall Hinton,DEN,QB,6000.0
579,J'mar Smith,NE,QB,6000.0
432,David Blough,DET,QB,6000.0
418,Manny Wilkins,GB,QB,6000.0
416,Will Grier,CAR,QB,6000.0
336,Tim Boyle,GB,QB,6000.0
295,Blake Bortles,DEN,QB,6000.0
308,Chris Streveler,ARI,QB,6000.0
749,Khalil Tate,PHI,QB,6000.0
311,Danny Etling,SEA,QB,6000.0
312,Kurt Benkert,ATL,QB,6000.0
747,Jordan Love,GB,QB,6000.0
319,George Kittle,SF,TE,6000.0
320,Davis Webb,BUF,QB,6000.0
333,Joshua Dobbs,PIT,QB,6000.0
736,Matt Moore,KC,QB,6000.0
413,Jonnu Smith,TEN,TE,6000.0
735,Josh McCown,HOU,QB,6000.0
730,Matt Schaub,ATL,QB,6000.0
821,T.J. Hockenson,DET,TE,6000.0
384,David Fales,NYJ,QB,6000.0
390,Cooper Rush,DAL,QB,6000.0
393,Logan Woodside,TEN,QB,6000.0
396,Corey Davis,TEN,WR,6000.0
692,Brian Lewerke,NE,QB,6000.0
686,Damien Harris,NE,RB,6000.0
192,Nate Sudfeld,PHI,QB,6000.0
581,James Morgan,NYJ,QB,6000.0
93,Jalen Morton,GB,QB,6000.0
826,Anthony Gordon,SEA,QB,6000.0
30,Colt McCoy,NYG,QB,6000.0
927,Jordan Ta'amu,KC,QB,6000.0
128,Robert Griffin III,BAL,QB,6000.0
175,Geno Smith,SEA,QB,6000.0
923,Chase Daniel,DET,QB,6000.0
107,Blaine Gabbert,TB,QB,6000.0
138,Marvin Jones Jr.,DET,WR,6000.0
921,J.K. Dobbins,BAL,RB,6000.0
146,Alex Tanney,NYG,QB,6000.0
842,Cole McDonald,TEN,QB,6000.0
69,Reid Sinnett,MIA,QB,6000.0
85,Broc Rutter,SF,QB,6000.0
150,Chad Kelly,IND,QB,6000.0
889,Kyle Lauletta,CLE,QB,6000.0
82,Kevin Davidson,CLE,QB,6000.0
858,David Montgomery,CHI,RB,6000.0
96,Case Cookus,NYG,QB,6000.0
16,Jake Dolegala,NE,QB,6000.0
956,Devlin Hodges,PIT,QB,6000.0
863,Chad Henne,KC,QB,6000.0
941,Jake Fromm,BUF,QB,6000.0
656,Darius Slayton,NYG,WR,5900.0
337,Marquez Valdes-Scantling,GB,WR,5900.0
294,Breshad Perriman,NYJ,WR,5900.0
778,Darrell Henderson,LAR,RB,5900.0
433,Curtis Samuel,CAR,WR,5900.0
344,Hunter Henry,LAC,TE,5900.0
650,Jakobi Meyers,NE,WR,5800.0
445,Josh Reynolds,LAR,WR,5800.0
916,Salvon Ahmed,MIA,RB,5800.0
862,Jared Cook,NO,TE,5800.0
884,Robert Tonyan,GB,TE,5800.0
890,Chase Edmonds,ARI,RB,5800.0
263,Jarvis Landry,CLE,WR,5700.0
322,Wayne Gallman,NYG,RB,5700.0
820,Noah Fant,DEN,TE,5700.0
203,Carlos Hyde,SEA,RB,5700.0
467,John Brown,BUF,WR,5700.0
468,Jerick McKinnon,SF,RB,5700.0
914,Marquise Brown,BAL,WR,5700.0
161,Eric Ebron,PIT,TE,5700.0
934,Jerry Jeudy,DEN,WR,5700.0
754,Michael Pittman Jr.,IND,WR,5700.0
649,Nyheim Hines,IND,RB,5700.0
151,Sammy Watkins,KC,WR,5600.0
441,Leonard Fournette,TB,RB,5600.0
776,Zack Moss,BUF,RB,5600.0
565,Myles Gaskin,MIA,RB,5600.0
198,Le'Veon Bell,KC,RB,5600.0
378,J.D. McKissic,WAS,RB,5600.0
527,Allen Lazard,GB,WR,5600.0
518,Mike Gesicki,MIA,TE,5600.0
838,Denzel Mims,NYJ,WR,5600.0
32,Emmanuel Sanders,NO,WR,5600.0
33,Jimmy Graham,CHI,TE,5600.0
367,Evan Engram,NYG,TE,5600.0
532,Tim Patrick,DEN,WR,5500.0
928,Cam Akers,LAR,RB,5500.0
806,Mecole Hardman,KC,WR,5500.0
274,Malcolm Brown,LAR,RB,5500.0
865,Julian Edelman,NE,WR,5500.0
399,Jamaal Williams,GB,RB,5500.0
400,Rashard Higgins,CLE,WR,5500.0
955,Jalen Reagor,PHI,WR,5500.0
774,Michael Gallup,DAL,WR,5500.0
933,Henry Ruggs III,LV,WR,5500.0
419,Kalen Ballage,LAC,RB,5500.0
662,Hayden Hurst,ATL,TE,5500.0
451,Sony Michel,NE,RB,5500.0
792,Devin Singletary,BUF,RB,5500.0
108,Mark Ingram II,BAL,RB,5500.0
216,James White,NE,RB,5400.0
134,T.Y. Hilton,IND,WR,5400.0
248,Damiere Byrd,NE,WR,5400.0
243,Trey Burton,IND,TE,5400.0
186,Sterling Shepard,NYG,WR,5400.0
731,Adrian Peterson,DET,RB,5400.0
343,Alex Collins,SEA,RB,5400.0
140,Cole Beasley,BUF,WR,5400.0
111,Randall Cobb,HOU,WR,5400.0
811,La'Mical Perine,NYJ,RB,5400.0
491,Jeff Wilson Jr.,SF,RB,5400.0
356,Phillip Lindsay,DEN,RB,5300.0
298,Demarcus Robinson,KC,WR,5300.0
876,Keelan Cole Sr.,JAC,WR,5300.0
191,Tevin Coleman,SF,RB,5300.0
389,Willie Snead IV,BAL,WR,5300.0
769,Darnell Mooney,CHI,WR,5300.0
136,Lamar Miller,CHI,RB,5300.0
412,Tyler Higbee,LAR,TE,5300.0
249,Cordarrelle Patterson,CHI,WR,5300.0
721,JaMycal Hasty,SF,RB,5300.0
105,A.J. Green,CIN,WR,5300.0
474,Dalton Schultz,DAL,TE,5300.0
950,DeeJay Dallas,SEA,RB,5300.0
751,N'Keal Harry,NE,WR,5300.0
875,David Moore,SEA,WR,5200.0
738,Frank Gore,NYJ,RB,5200.0
330,Gus Edwards,BAL,RB,5200.0
439,Russell Gage,ATL,WR,5200.0
881,Kendrick Bourne,SF,WR,5200.0
232,Nelson Agholor,LV,WR,5200.0
848,Alexander Mattison,MIN,RB,5200.0
846,Irv Smith Jr.,MIN,TE,5200.0
886,Danny Amendola,DET,WR,5200.0
536,Jordan Akins,HOU,TE,5200.0
221,Richard Rodgers,PHI,TE,5200.0
580,Scotty Miller,TB,WR,5100.0
326,Austin Hooper,CLE,TE,5100.0
816,Travis Homer,SEA,RB,5100.0
548,Hunter Renfrow,LV,WR,5100.0
317,Devontae Booker,LV,RB,5100.0
28,Golden Tate,NYG,WR,5100.0
654,Tony Pollard,DAL,RB,5100.0
744,Larry Fitzgerald,ARI,WR,5100.0
239,Marvin Hall,DET,WR,5100.0
457,Brian Hill,ATL,RB,5100.0
448,Richie James Jr.,SF,WR,5100.0
324,Jack Doyle,IND,TE,5100.0
910,KJ Hamler,DEN,WR,5100.0
381,Boston Scott,PHI,RB,5100.0
370,Anthony Miller,CHI,WR,5100.0
366,Jordan Wilkins,IND,RB,5000.0
922,Laviska Shenault Jr.,JAC,WR,5000.0
496,James Washington,PIT,WR,5000.0
334,Greg Ward,PHI,WR,5000.0
26,Dez Bryant,BAL,WR,5000.0
447,Zach Pascal,IND,WR,5000.0
537,Tre'Quan Smith,NO,WR,5000.0
894,Ross Dwelley,SF,TE,5000.0
49,Miami Dolphins,MIA,DST,5000.0
480,Justin Jackson,LAC,RB,5000.0
296,Latavius Murray,NO,RB,5000.0
157,Devonta Freeman,NYG,RB,5000.0
797,Benny Snell Jr.,PIT,RB,5000.0
244,Jordan Reed,SF,TE,5000.0
172,Logan Thomas,WAS,TE,5000.0
147,Josh Gordon,SEA,WR,5000.0
799,Devin Duvernay,BAL,WR,4900.0
509,Bo Scarbrough,SEA,RB,4900.0
430,Rodney Smith,CAR,RB,4900.0
596,Ray-Ray McCloud,PIT,WR,4900.0
831,Quintez Cephus,DET,WR,4900.0
245,Chris Conley,JAC,WR,4900.0
882,Anthony Firkser,TEN,TE,4900.0
531,Ryan Nall,CHI,RB,4900.0
