,name,id,position,start,end
0,Jared Abbrederis,AbbrJa00,WR,2014,2017
1,Ameer Abdullah,AbduAm00,RB,2015,2020
2,Davante Adams,AdamDa01,WR,2014,2020
3,Jerell Adams,AdamJe01,TE,2016,2019
4,Josh Adams,AdamJo03,RB,2018,2020
5,Rodney Adams,AdamRo01,WR,2017,2017
6,Bralon Addison,AddiBr01,RB,2016,2016
7,Quincy Adeboyejo,AdebQu00,WR,2017,2017
8,Nelson Agholor,AghoNe00,WR,2015,2020
9,Roberto Aguayo,AguaRo00,K,2016,2016
10,Salvon Ahmed,AhmeSa01,RB,2020,2020
11,Kamar Aiken,AikeKa00,WR,2011,2018
12,Brandon Aiyuk ,AiyuBr00,WR,2020,2020
13,Jay Ajayi,AjayJa00,RB,2015,2019
14,Seyi Ajirotutu,AjirSe00,WR,2010,2015
15,Cam Akers ,AkerCa00,RB,2020,2020
16,Jordan Akins,AkinJo00,TE,2018,2020
17,Mario Alford,AlfoMa00,WR,2015,2016
18,Mo Alie-Cox,AlieMo00,TE,2018,2020
19,Brandon Allen,AlleBr00,QB,2019,2020
20,Dwayne Allen,AlleDw00,TE,2012,2018
21,Javorius Allen,AlleJa01,RB,2015,2019
22,Josh Allen ,AlleJo02,QB,2018,2020
23,Keenan Allen ,AlleKe00,WR,2013,2020
24,Kyle Allen,AlleKy00,QB,2018,2020
25,Geronimo Allison,AlliGe01,WR,2016,2019
26,Jace Amaro,AmarJa00,TE,2014,2016
27,Danny Amendola,AmenDa00,WR,2009,2020
28,C.J. Anderson,AndeC.00,RB,2013,2019
29,Derek Anderson ,AndeDe00,QB,2006,2018
30,Robby Anderson,AndeRo04,WR,2016,2020
31,Stephen Anderson,AndeSt01,TE,2016,2020
32,Antonio Andrews,AndrAn00,RB,2014,2016
33,Mark Andrews,AndrMa00,TE,2018,2020
34,JJ Arcega-Whiteside,ArceJJ00,WR,2019,2020
35,Dri Archer,ArchDr00,WR,2014,2015
36,Alex Armah,ArmaAl00,RB,2017,2020
37,Ryquell Armstead,ArmsRy00,RB,2019,2019
38,Dan Arnold,ArnoDa00,WR,2018,2020
39,Cameron Artis-Payne,ArtiCa00,RB,2015,2018
40,Devin Asiasi ,AsiaDe00,TE,2020,2020
41,Matt Asiata,AsiaMa00,RB,2012,2016
42,Marcell Ateman,AtemMa00,WR,2018,2019
43,George Atkinson ,AtkiGe01,RB,2014,2016
44,Antony Auclair ,AuclAn00,TE,2017,2020
45,Miles Austin,AustMi00,WR,2006,2015
46,Tavon Austin,AustTa00,WR,2013,2020
47,Jason Avant,AvanJa00,WR,2006,2015
48,Demarcus Ayers,AyerDe00,WR,2016,2016
49,Alex Bachman,BachAl00,WR,2020,2020
50,Kennard Backman,BackKe00,TE,2015,2015
51,Jeff Badet,BadeJe00,WR,2020,2020
52,Michael Badgley,BadgMi00,K,2018,2020
53,Dan Bailey,BailDa00,K,2011,2020
54,Stedman Bailey,BailSt01,WR,2013,2015
55,Doug Baldwin ,BaldDo00,WR,2011,2018
56,Kalen Ballage,BallKa00,RB,2018,2020
57,Joe Banyard,BanyJo00,RB,2012,2017
58,Peyton Barber,BarbPe01,RB,2016,2020
59,Jake Bargas,BargJa00,RB,2020,2020
60,Matt Barkley,BarkMa00,QB,2013,2020
61,Saquon Barkley,BarkSa00,RB,2018,2020
62,Kenjon Barner,BarnKe00,RB,2013,2020
63,Gary Barnidge,BarnGa01,TE,2008,2016
64,Connor Barth,barthco01,K,2008,2017
65,Tyler Bass,BassTy00,K,2020,2020
66,Cameron Batson,BatsCa00,WR,2018,2020
67,Marcus Baugh,BaugMa02,TE,2020,2020
68,Nick Bawden,BawdNi00,RB,2019,2019
69,Evan Baylis,BaylEv00,TE,2017,2020
70,Cole Beasley,BeasCo00,WR,2012,2020
71,C.J. Beathard,BeatC.00,QB,2017,2020
72,Andrew Beck,BeckAn01,TE,2019,2020
73,Nate Becker,BeckNa00,TE,2020,2020
74,Odell Beckham Jr.,BeckOd00,WR,2014,2020
75,Chad Beebe,BeebCh00,WR,2018,2020
76,Reggie Begelton ,BegeRe00,WR,2020,2020
77,Blake Bell,BellBl00,TE,2015,2020
78,Joique Bell,BellJo01,RB,2010,2016
79,Le'Veon Bell,BellLe00,RB,2013,2020
80,Josh Bellamy,BellJo02,WR,2012,2019
81,LeVante Bellamy,BellLe02,RB,2020,2020
82,Kelvin Benjamin,BenjKe00,WR,2014,2018
83,Travis Benjamin,BenjTr00,WR,2012,2019
84,Arrelious Benn,BennAr00,WR,2010,2017
85,Martellus Bennett ,BennMa00,TE,2008,2017
86,Giovani Bernard,BernGi00,RB,2013,2020
87,Braxton Berrios,BerrBr00,WR,2019,2020
88,Rashod Berry,BerrRa01,TE,2020,2020
89,Brenton Bersin,BersBr00,WR,2014,2017
90,E.J. Bibbs,BibbE.00,TE,2015,2015
91,Kapri Bibbs,BibbKa00,RB,2014,2018
92,Jace Billingsley,BillJa00,WR,2017,2017
93,Saeed Blacknall,BlacSa00,WR,2018,2018
94,Christian Blake,BlakCh00,WR,2019,2020
95,Rodrigo Blankenship ,BlanRo03,K,2020,2020
96,Kendall Blanton,BlanKe01,TE,2019,2019
97,Khari Blasingame,BlasKh00,RB,2019,2020
98,David Blough,BlouDa00,QB,2019,2020
99,LeGarrette Blount,BlouLe00,RB,2010,2018
100,Alfred Blue,BlueAl00,RB,2014,2018
101,C.J. Board,BoarC.00,WR,2019,2020
102,Tommy Bohanon,BohaTo00,RB,2013,2018
103,Brandon Bolden,BoldBr00,RB,2012,2019
104,Victor Bolden,BoldVi00,WR,2017,2018
105,Anquan Boldin,BoldAn00,WR,2003,2016
106,Reggie Bonnafon,BonnRe00,RB,2019,2020
107,Devontae Booker,BookDe00,RB,2016,2020
108,Mike Boone,BoonMi00,RB,2018,2020
109,Blake Bortles ,BortBl00,QB,2014,2019
110,Brandon Bostick,BostBr00,TE,2012,2016
111,Chris Boswell,BoswCh00,K,2015,2020
112,Kendrick Bourne,BourKe00,WR,2017,2020
113,Lynn Bowden Jr.,BowdLy00,WR,2020,2020
114,Dwayne Bowe,BoweDw00,WR,2007,2015
115,Braedon Bowman,BowmBr00,TE,2016,2016
