name,id,position,start,end
Isaako Aaitui,AaitIs00,NT,2013,2014
Joe Abbey,AbbeJo20,E,1948,1949
Fay Abbott,AbboFa20,BB-FB-TB-QB-WB-E,1921,1929
Vince Abbott,abbotvin01,K,1987,1988
Jared Abbrederis,AbbrJa00,WR,2014,2017
Duke Abbruzzi,AbbrDu20,HB-DB,1946,1946
Mehdi Abdesmad,AbdeMe00,DE,2016,2016
Karim Abdul-Jabbar,AbduKa00,RB,1996,2000
Isa Abdul-Quddus,AbduIs00,S,2011,2016
Ameer Abdullah,AbduAm00,RB,2015,2020
Hamza Abdullah,AbduHa20,DB,2005,2011
Husain Abdullah,AbduHu99,DB,2008,2015
Khalid Abdullah,AbduKh20,LB,2003,2003
Rabih Abdullah,AbduRa00,RB,1999,2004
Rahim Abdullah,AbduRa20,LB,1999,2000
Fred Abel,AbelFr20,BB-FB,1926,1926
Bud Abell,AbelBu20,LB,1966,1968
Walter Abercrombie,AberWa00,RB,1982,1988
Cliff Aberson,AberCl20,TB-DB,1946,1946
Victor Abiamiri,AbiaVi99,DE,2007,2009
Oday Aboushi,AbouOd00,OT,2014,2020
Clifton Abraham,AbraCl20,DB,1995,1997
Donnie Abraham,AbraDo00,DB,1996,2004
John Abraham,AbraJo00,DE,2000,2014
Robert Abraham,AbraRo20,LB,1982,1987
Johnathan Abram,AbraJo01,S,2019,2020
Danny Abramowicz,AbraDa00,E,1967,1974
Sid Abramowitz,AbraSi20,T,1983,1987
Bobby Abrams,AbraBo20,LB,1990,1995
Delrick Abrams,AbraDe00,DB,2020,2020
Kevin Abrams,AbraKe20,DB,1997,1999
Nate Abrams,AbraNa20,E,1921,1921
George Abramson,AbraGe20,G-T,1925,1925
Dick Abrell,AbreDi20,BB-WB,1920,1920
Ray Abruzzese,AbruRa20,B,1962,1966
Frank Abruzzino,AbruFr20,BB-LB-C-G-E-WB-DB,1931,1933
Dick Absher,AbshDi20,LB-K,1967,1972
Steve Ache,AcheSt20,LB,1987,1987
George Achica,AchiGe20,DT,1985,1985
Sneeze Achiu,AchiSn20,WB-TB-E-BB,1927,1928
Emmanuel Acho,AchoEm00,OLB,2012,2014
Sam Acho,AchoSa00,OLB,2011,2019
Bill Acker,AckeBi20,NT,1980,1987
Kenneth Acker,AckeKe00,CB,2014,2017
Rick Ackerman,AckeRi20,NT-DT,1982,1987
Tom Ackerman,AckeTo20,G-C,1996,2003
Ron Acks,AcksRo20,LB,1968,1976
Fred Acorn,AcorFr20,DB,1984,1984
Ed Adamchik,AdamEd20,C,1965,1965
Mike Adamle,AdamMi01,RB,1971,1976
Tony Adamle,AdamTo02,LB-FB,1947,1954
