,Year,Week,Home,Away,Temp (C),Forecast,Wind (mph)
0,2015,1,NE,PIT,17.8,Light Rain,9
1,2015,1,CHI,GB,20.0,Partly Cloudy,4
2,2015,1,HOU,KC,28.3,Clear,8
3,2015,1,NYJ,CLE,24.4,Partly Cloudy,7
4,2015,1,BUF,IND,11.7,Mostly Cloudy,7
5,2015,1,WSH,MIA,21.7,Partly Cloudy,11
6,2015,1,JAX,CAR,27.2,Partly Cloudy,1
7,2015,1,LAR,SEA,n/a,DOME,3
8,2015,1,ARI,NO,n/a,DOME,4
9,2015,1,LAC,DET,27.8,Clear,8
10,2015,1,TB,TEN,27.2,Mostly Cloudy,6
11,2015,1,LV,CIN,23.9,Partly Cloudy,9
12,2015,1,DEN,BAL,30.0,Partly Cloudy,5
13,2015,1,DAL,NYG,25.6,Clear,9
14,2015,1,ATL,PHI,n/a,DOME,2
15,2015,1,SF,MIN,17.8,Mostly Cloudy,4
16,2015,2,KC,DEN,26.7,Mostly Cloudy,8
17,2015,2,CAR,HOU,31.1,Partly Cloudy,2
18,2015,2,PIT,SF,20.6,Clear,2
19,2015,2,NO,TB,n/a,DOME,2
20,2015,2,MIN,DET,21.1,Partly Cloudy,12
21,2015,2,CHI,ARI,20.6,Partly Cloudy,3
22,2015,2,BUF,NE,16.7,Clear,4
23,2015,2,CIN,LAC,22.8,Partly Cloudy,6
24,2015,2,CLE,TEN,18.9,Partly Cloudy,11
25,2015,2,NYG,ATL,25.0,Clear,7
26,2015,2,WSH,LAR,23.9,Partly Cloudy,6
27,2015,2,JAX,MIA,28.3,Clear,5
28,2015,2,LV,BAL,31.7,Dry and Partly Cloudy,7
29,2015,2,PHI,DAL,23.3,Clear,7
30,2015,2,GB,SEA,12.2,Clear,6
31,2015,2,IND,NYJ,n/a,DOME,3
32,2015,3,NYG,WSH,18.9,Clear,2
33,2015,3,DAL,ATL,31.7,Clear,4
34,2015,3,TEN,IND,25.0,Mostly Cloudy,4
35,2015,3,CLE,LV,23.9,Mostly Cloudy,10
36,2015,3,BAL,CIN,22.8,Mostly Cloudy,8
37,2015,3,NE,JAX,21.1,Clear,3
38,2015,3,CAR,NO,19.4,Overcast,8
39,2015,3,NYJ,PHI,21.1,Partly Cloudy,5
40,2015,3,HOU,TB,23.9,Mostly Cloudy,8
41,2015,3,MIN,LAC,26.7,Clear,13
42,2015,3,LAR,PIT,n/a,DOME,4
43,2015,3,ARI,SF,n/a,DOME,3
44,2015,3,MIA,BUF,26.7,Mostly Cloudy,0
45,2015,3,SEA,CHI,16.7,Clear,7
46,2015,3,DET,DEN,n/a,DOME,7
47,2015,3,GB,KC,16.7,Overcast,3
48,2015,4,PIT,BAL,12.2,Mostly Cloudy,7
49,2015,4,MIA,NYJ,16.7,Partly Cloudy,6
50,2015,4,IND,JAX,n/a,DOME,8
51,2015,4,BUF,NYG,15.6,Mostly Cloudy,4
52,2015,4,TB,CAR,23.9,Partly Cloudy,7
53,2015,4,WSH,PHI,15.0,Overcast,13
54,2015,4,CHI,LV,13.3,Overcast,8
55,2015,4,ATL,HOU,n/a,DOME,9
56,2015,4,CIN,KC,22.8,Clear,8
57,2015,4,LAC,CLE,20.0,Mostly Cloudy,7
58,2015,4,SF,GB,24.4,Clear,6
59,2015,4,ARI,LAR,n/a,DOME,14
60,2015,4,DEN,MIN,15.6,Mostly Cloudy,5
61,2015,4,NO,DAL,n/a,DOME,10
62,2015,4,SEA,DET,16.1,Partly Cloudy,2
63,2015,5,HOU,IND,24.4,Mostly Cloudy,2
64,2015,5,KC,CHI,26.7,Clear,11
65,2015,5,CIN,SEA,22.2,Clear,7
66,2015,5,ATL,WSH,n/a,DOME,2
67,2015,5,TB,JAX,28.3,Clear,9
68,2015,5,PHI,NO,19.4,Clear,4
69,2015,5,BAL,CLE,20.0,Clear,0
70,2015,5,GB,LAR,22.8,Clear,15
71,2015,5,TEN,BUF,22.2,Partly Cloudy,2
72,2015,5,DET,ARI,n/a,DOME,15
73,2015,5,DAL,NE,33.3,Clear,11
74,2015,5,LV,DEN,24.4,Clear,8
75,2015,5,NYG,SF,13.9,Clear,3
76,2015,5,LAC,PIT,24.4,Partly Cloudy,5
77,2015,6,NO,ATL,n/a,DOME,2
78,2015,6,NYJ,WSH,8.9,Mostly Cloudy,10
79,2015,6,PIT,ARI,5.6,Mostly Cloudy,8
80,2015,6,MIN,KC,16.7,Clear,15
81,2015,6,BUF,CIN,2.8,Mostly Cloudy,2
82,2015,6,DET,CHI,n/a,DOME,8
83,2015,6,CLE,DEN,7.8,Mostly Cloudy,11
84,2015,6,JAX,HOU,21.1,Mostly Cloudy,13
85,2015,6,TEN,MIA,15.6,Clear,6
86,2015,6,SEA,CAR,15.0,Overcast,4
87,2015,6,GB,LAC,9.4,Clear,8
88,2015,6,SF,BAL,20.0,Partly Cloudy,10
89,2015,6,IND,NE,n/a,DOME,2
90,2015,6,PHI,NYG,6.7,Clear,6
91,2015,7,SF,SEA,18.9,Clear,3
92,2015,7,JAX,BUF,10.6,Clear,3
93,2015,7,WSH,TB,21.1,Mostly Cloudy,8
94,2015,7,TEN,ATL,16.1,Overcast,8
95,2015,7,IND,NO,n/a,DOME,7
96,2015,7,DET,MIN,n/a,DOME,5
97,2015,7,KC,PIT,17.8,Clear,6
98,2015,7,LAR,CLE,n/a,DOME,7
99,2015,7,MIA,HOU,27.8,Mostly Cloudy,11
100,2015,7,NE,NYJ,14.4,Mostly Cloudy,6
101,2015,7,LAC,LV,25.0,Mostly Cloudy,5
102,2015,7,NYG,DAL,15.0,Partly Cloudy,10
103,2015,7,CAR,PHI,17.8,Mostly Cloudy,0
104,2015,7,ARI,BAL,n/a,DOME,2
105,2015,8,NE,MIA,11.7,Clear,9
106,2015,8,KC,DET,13.9,Clear,3
107,2015,8,ATL,TB,n/a,DOME,2
108,2015,8,CLE,ARI,17.2,Partly Cloudy,17
109,2015,8,LAR,SF,n/a,DOME,4
110,2015,8,NO,NYG,n/a,DOME,6
111,2015,8,CHI,MIN,16.1,Clear,7
112,2015,8,BAL,LAC,18.3,Partly Cloudy,6
113,2015,8,PIT,CIN,17.2,Partly Cloudy,9
114,2015,8,HOU,TEN,20.0,Mostly Cloudy,4
115,2015,8,LV,NYJ,20.0,Partly Cloudy,8
116,2015,8,DAL,SEA,17.2,Partly Cloudy,0
