,Name,Team,Position,Salary
416,Christian McCaffrey,CAR,RB,10000.0
270,Ezekiel Elliott,DAL,RB,9500.0
329,Alvin Kamara,NO,RB,9300.0
470,Patrick Mahomes II,KC,QB,9000.0
107,DeAndre Hopkins,ARI,WR,9000.0
352,Davante Adams,GB,WR,8900.0
274,Derrick Henry,TEN,RB,8900.0
517,Josh Allen,BUF,QB,8800.0
112,Russell Wilson,SEA,QB,8700.0
180,Michael Thomas,NO,WR,8600.0
292,Aaron Jones,GB,RB,8500.0
549,Kyler Murray,ARI,QB,8400.0
590,Calvin Ridley,ATL,WR,8400.0
90,Julio Jones,ATL,WR,8300.0
648,Aaron Rodgers,GB,QB,8100.0
392,Nick Chubb,CLE,RB,8000.0
395,Tyreek Hill,KC,WR,8000.0
414,Deshaun Watson,HOU,QB,8000.0
721,Miles Sanders,PHI,RB,7900.0
245,Travis Kelce,KC,TE,7900.0
736,Josh Jacobs,LV,RB,7800.0
627,Matt Ryan,ATL,QB,7800.0
220,Amari Cooper,DAL,WR,7800.0
213,Mike Davis,CAR,RB,7700.0
616,Drew Brees,NO,QB,7700.0
88,Cam Newton,NE,QB,7600.0
403,Kenny Golladay,DET,WR,7600.0
576,Chris Carson,SEA,RB,7600.0
261,Jared Goff,LAR,QB,7500.0
135,Stefon Diggs,BUF,WR,7500.0
654,Justin Herbert,LAC,QB,7500.0
370,Joe Mixon,CIN,RB,7400.0
615,Tom Brady,TB,QB,7400.0
625,Ben Roethlisberger,PIT,QB,7400.0
433,Chris Godwin,TB,WR,7400.0
151,Tyler Lockett,SEA,WR,7400.0
676,Carson Wentz,PHI,QB,7400.0
630,Matthew Stafford,DET,QB,7300.0
740,D.K. Metcalf,SEA,WR,7300.0
110,Ryan Tannehill,TEN,QB,7300.0
241,Mike Evans,TB,WR,7300.0
297,James Conner,PIT,RB,7200.0
92,Andy Dalton,DAL,QB,7200.0
510,Gardner Minshew II,JAC,QB,7200.0
453,Terry McLaurin,WAS,WR,7100.0
342,Kareem Hunt,CLE,RB,7100.0
754,Cooper Kupp,LAR,WR,7100.0
279,George Kittle,SF,TE,7100.0
540,Joe Burrow,CIN,QB,7100.0
314,Baker Mayfield,CLE,QB,7000.0
785,Clyde Edwards-Helaire,KC,RB,7000.0
