,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Daniel Carlson,K,LV,4,-,1,-,-,1,12.00
1,Mason Crosby,K,GB,5,-,-,1,1,-,11.00
2,Josh Lambo,K,JAX,3,-,-,-,1,1,11.00
3,Matt Prater,K,DET,2,-,1,1,1,-,11.00
4,Mike Badgley,K,LAC,1,-,2,-,1,-,10.00
5,Harrison Butker,K,KC,4,1,1,-,-,-,10.00
6,Robbie Gould,K,SF,2,-,1,-,-,1,10.00
7,Wil Lutz,K,NO,4,-,2,-,-,-,10.00
8,Joey Slye,K,CAR,1,-,-,1,2,-,10.00
9,Tyler Bass,K,BUF,3,1,1,-,-,-,9.00
10,Randy Bullock,K,CIN,1,-,-,-,1,1,9.00
11,Dustin Hopkins,K,WAS,3,-,-,1,1,-,9.00
12,Cairo Santos,K,CHI,3,-,1,1,-,-,9.00
13,Rodrigo Blankenship,K,IND,2,-,1,1,-,-,8.00
14,Chris Boswell,K,PIT,2,-,-,1,1,-,8.00
15,Zane Gonzalez,K,ARI,3,-,-,-,-,1,8.00
16,Jason Myers,K,SEA,5,-,-,-,1,-,8.00
17,Sam Sloman,K,,2,-,-,2,-,-,8.00
18,Justin Tucker,K,BAL,5,-,-,-,1,-,8.00
19,Younghoe Koo,K,ATL,1,-,-,-,2,-,7.00
20,Jake Elliott,K,PHI,2,-,-,1,-,-,5.00
21,Sam Ficken,K,NYJ,2,-,-,1,-,-,5.00
22,Ryan Succop,K,TB,2,-,-,1,-,-,5.00
23,Greg Zuerlein,K,DAL,2,-,-,1,-,-,5.00
24,Dan Bailey,K,MIN,1,-,-,1,-,-,4.00
25,Graham Gano,K,NYG,1,-,1,-,-,-,4.00
26,Stephen Gostkowski,K,TEN,1,-,1,-,-,-,4.00
27,Nick Folk,K,NE,3,-,-,-,-,-,3.00
28,Jason Sanders,K,MIA,-,-,-,-,1,-,3.00
29,Ka'imi Fairbairn,K,HOU,2,-,-,-,-,-,2.00
30,Brandon McManus,K,DEN,2,-,-,-,-,-,2.00
31,Ty Long,K,LAC,-,-,-,-,-,-,0.00
32,Austin Seibert,K,CIN,-,-,-,-,-,-,0.00
33,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
34,Jon Brown,K,,-,-,-,-,-,-,0.00
35,Kai Forbath,K,LA,-,-,-,-,-,-,0.00
36,Elliott Fry,K,,-,-,-,-,-,-,0.00
37,Matt Gay,K,,-,-,-,-,-,-,0.00
38,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
39,Stephen Hauschka,K,,-,-,-,-,-,-,0.00
40,Greg Joseph,K,,-,-,-,-,-,-,0.00
41,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
42,Brett Maher,K,,-,-,-,-,-,-,0.00
43,Tucker McCann,K,,-,-,-,-,-,-,0.00
44,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
45,Cody Parkey,K,CLE,-,-,-,-,-,-,0.00
46,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
47,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
48,Aldrick Rosas,K,,-,-,-,-,-,-,0.00
49,Kaare Vedvik,K,,-,-,-,-,-,-,0.00
50,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
51,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
52,Nick Vogel,K,,-,-,-,-,-,-,0.00
53,Brandon Wright,K,,-,-,-,-,-,-,0.00
