,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
0,Davante Adams,WR,GB,-,-,-,-,-,14,156,2,-,-,-,,41.60
1,Josh Jacobs,RB,LV,-,-,-,93,3,4,46,-,-,-,-,,35.90
2,Calvin Ridley,WR,ATL,-,-,-,-1,-,9,130,2,-,-,-,,33.90
3,Russell Wilson,QB,SEA,322,4,-,29,-,-,-,-,-,-,-,,31.78
4,Adam Thielen,WR,MIN,-,-,-,-,-,6,110,2,-,-,1,,31.00
5,Aaron Rodgers,QB,GB,364,4,-,2,-,-,-,-,-,-,-,,30.76
6,DeAndre Hopkins,WR,ARI,-,-,-,-,-,14,151,-,-,-,-,,29.10
7,Christian McCaffrey,RB,CAR,-,-,-,97,2,3,38,-,-,-,-,,28.50
8,Darius Slayton,WR,NYG,-,-,-,-,-,6,102,2,-,-,-,,28.20
9,Josh Allen,QB,BUF,312,2,-,57,1,-,-,-,-,-,-,,28.18
10,Ezekiel Elliott,RB,DAL,-,-,-,96,1,3,31,1,-,-,-,,27.70
11,Lamar Jackson,QB,BAL,275,3,-,45,-,-,-,-,-,-,-,,27.50
12,Nyheim Hines,RB,IND,-,-,-,28,1,8,45,1,-,-,-,,27.30
13,Kyler Murray,QB,ARI,230,1,1,91,1,-,-,-,-,-,-,,26.30
14,Malcolm Brown,RB,LA,-,-,-,79,2,3,31,-,-,-,-,,26.00
15,Cam Newton,QB,NE,155,-,-,75,2,-,-,-,-,-,-,,25.70
16,Robby Anderson,WR,CAR,-,-,-,-,-,6,114,1,-,-,1,,25.40
17,Raheem Mostert,RB,SF,-,-,-,56,-,4,95,1,-,-,-,,25.10
18,JuJu Smith-Schuster,WR,PIT,-,-,-,-,-,6,69,2,-,-,-,,24.90
19,Julio Jones,WR,ATL,-,-,-,-,-,9,157,-,-,-,-,,24.70
20,Chris Carson,RB,SEA,-,-,-,21,-,6,45,2,-,-,-,,24.60
21,Jamison Crowder,WR,NYJ,-,-,-,-,-,7,115,1,-,-,-,,24.50
22,Mitchell Trubisky,QB,CHI,242,3,-,26,-,-,-,-,-,-,-,,24.28
23,Dallas Goedert,TE,PHI,-,-,-,-,-,8,101,1,-,-,-,,24.10
24,Matt Ryan,QB,ATL,450,2,1,-1,-,-,-,-,-,-,-,,23.90
25,Alvin Kamara,RB,NO,-,-,-,16,1,5,51,1,-,-,-,,23.70
26,Mark Andrews,TE,BAL,-,-,-,-,-,5,58,2,-,-,-,,22.80
27,Ben Roethlisberger,QB,PIT,229,3,-,9,-,-,-,-,-,-,-,,22.06
28,Dalvin Cook,RB,MIN,-,-,-,50,2,1,-2,-,-,-,2,,21.80
29,Kirk Cousins,QB,MIN,259,2,1,34,-,-,-,-,-,-,1,,21.76
30,Sammy Watkins,WR,KC,-,-,-,3,-,7,82,1,-,-,-,,21.50
31,Gardner Minshew,QB,JAX,173,3,-,19,-,-,-,-,-,-,-,,20.82
32,Deshaun Watson,QB,HOU,253,1,1,27,1,-,-,-,-,-,-,,20.82
33,Tom Brady,QB,TB,239,2,2,9,1,-,-,-,-,-,-,,20.46
34,Patrick Mahomes,QB,KC,211,3,-,-,-,-,-,-,-,-,-,,20.44
35,Russell Gage,WR,ATL,-,-,-,-,-,9,114,-,-,-,-,,20.40
36,David Johnson,RB,HOU,-,-,-,77,1,3,32,-,-,-,-,,19.90
37,Clyde Edwards-Helaire,RB,KC,-,-,-,138,1,-,-,-,-,-,-,,19.80
38,Marquez Valdes-Scantling,WR,GB,-,-,-,-,-,4,96,1,-,-,-,,19.60
39,DK Metcalf,WR,SEA,-,-,-,-,-,4,95,1,-,-,-,,19.50
40,Teddy Bridgewater,QB,CAR,269,1,-,26,-,-,-,-,-,-,1,,19.36
41,Ryan Tannehill,QB,TEN,249,2,-,14,-,-,-,-,-,-,-,,19.36
42,Jimmy Garoppolo,QB,SF,259,2,-,9,-,-,-,-,-,-,-,,19.26
43,Will Fuller,WR,HOU,-,-,-,-,-,8,112,-,-,-,-,,19.20
44,Noah Fant,TE,DEN,-,-,-,-,-,5,81,1,-,-,-,,19.10
45,John Brown,WR,BUF,-,-,-,-,-,6,70,1,-,-,-,,19.00
46,Allen Lazard,WR,GB,-,-,-,19,-,4,63,1,-,-,-,,18.20
47,Amari Cooper,WR,DAL,-,-,-,-,-,10,81,-,-,-,-,,18.10
48,Robert Woods,WR,LA,-,-,-,14,-,6,105,-,-,-,-,,17.90
49,Dak Prescott,QB,DAL,266,1,-,30,-,-,-,-,-,-,-,,17.64
50,Aaron Jones,RB,GB,-,-,-,66,1,4,10,-,-,-,-,,17.60
51,Anthony Miller,WR,CHI,-,-,-,-,-,4,76,1,-,-,-,,17.60
52,Daniel Jones,QB,NYG,279,2,2,22,-,-,-,-,-,-,-,,17.36
53,Tyler Lockett,WR,SEA,-,-,-,-,-,8,92,-,-,-,-,,17.20
54,Corey Davis,WR,TEN,-,-,-,-,-,7,101,-,-,-,-,,17.10
55,Travis Kelce,TE,KC,-,-,-,-,-,6,50,1,-,-,-,,17.00
56,Stefon Diggs,WR,BUF,-,-,-,-,-,8,86,-,-,-,-,,16.60
57,T.J. Hockenson,TE,DET,-,-,-,-,-,5,56,1,-,-,-,,16.60
58,Willie Snead,WR,BAL,-,-,-,-,-,4,64,1,-,-,-,,16.40
59,Joe Burrow,QB,CIN,193,-,1,46,1,-,-,-,-,-,-,,16.32
60,Matthew Stafford,QB,DET,297,1,1,23,-,-,-,-,-,-,-,,16.18
61,Derrick Henry,RB,TEN,-,-,-,116,-,3,15,-,-,-,-,,16.10
62,Keelan Cole,WR,JAX,-,-,-,-,-,5,47,1,-,-,-,,15.70
63,Melvin Gordon,RB,DEN,-,-,-,78,1,3,8,-,-,-,-,,15.60
64,Tyreek Hill,WR,KC,-,-,-,-,-,5,46,1,-,-,-,,15.60
65,Marquise Brown,WR,BAL,-,-,-,-,-,5,101,-,-,-,-,,15.10
66,Peyton Barber,RB,WAS,-,-,-,29,2,-,-,-,-,-,-,,14.90
67,Jonathan Taylor,RB,IND,-,-,-,22,-,6,67,-,-,-,-,,14.90
68,Philip Rivers,QB,IND,363,1,2,3,-,-,-,-,-,-,-,,14.82
69,Kenyan Drake,RB,ARI,-,-,-,60,1,2,5,-,-,-,-,,14.50
