,count,mean,std,min,25%,50%,75%,max
P1_pass_cmp,1589.0,18.53,9.75,0.0,15.0,21.0,25.0,44.0
P1_pass_att,1589.0,28.79,14.69,0.0,24.0,32.0,38.0,66.0
P1_pass_yds,1589.0,210.44,113.29,0.0,160.0,231.0,286.0,513.0
P1_pass_td,1589.0,1.4,1.25,0.0,0.0,1.0,2.0,7.0
P1_pass_int,1589.0,0.59,0.84,0.0,0.0,0.0,1.0,5.0
P1_pass_sacked,1589.0,1.83,1.7,0.0,0.0,2.0,3.0,11.0
P1_rush_att,1589.0,2.89,2.93,0.0,1.0,2.0,4.0,26.0
P1_rush_yds,1589.0,13.02,19.58,-12.0,0.0,5.0,19.0,152.0
P1_rush_td,1589.0,0.15,0.39,0.0,0.0,0.0,0.0,2.0
D1_pass_cmp,1589.0,20.05,8.59,0.0,16.0,21.0,25.0,44.0
D1_pass_att,1589.0,31.65,12.87,0.0,27.0,34.0,40.0,66.0
D1_pass_yds,1589.0,226.14,100.16,0.0,179.0,239.0,293.0,513.0
D1_pass_td,1589.0,1.43,1.21,0.0,0.0,1.0,2.0,7.0
D1_pass_int,1589.0,0.76,0.94,0.0,0.0,0.0,1.0,5.0
D1_pass_sacked,1589.0,2.12,1.76,0.0,1.0,2.0,3.0,11.0
D1_rush_att,1589.0,23.6,10.59,0.0,19.0,24.0,31.0,54.0
D1_rush_yds,1589.0,101.04,58.89,0.0,64.0,98.0,137.0,313.0
D1_rush_td,1589.0,0.76,0.91,0.0,0.0,1.0,1.0,6.0
O1_rush_att,1589.0,24.12,10.67,0.0,19.0,25.0,31.0,54.0
O1_rush_yds,1589.0,104.09,60.03,0.0,66.0,101.0,140.0,313.0
O1_rush_td,1589.0,0.8,0.91,0.0,0.0,1.0,1.0,6.0
P2_pass_cmp,1589.0,17.9,10.22,0.0,13.0,20.0,25.0,44.0
P2_pass_att,1589.0,27.84,15.48,0.0,22.0,31.0,38.0,66.0
P2_pass_yds,1589.0,204.89,119.39,0.0,146.0,230.0,288.0,506.0
P2_pass_td,1589.0,1.35,1.25,0.0,0.0,1.0,2.0,7.0
P2_pass_int,1589.0,0.61,0.86,0.0,0.0,0.0,1.0,5.0
P2_pass_sacked,1589.0,1.77,1.71,0.0,0.0,1.0,3.0,10.0
P2_rush_att,1589.0,2.8,2.9,0.0,0.0,2.0,4.0,26.0
P2_rush_yds,1589.0,12.54,19.35,-12.0,0.0,4.0,18.0,135.0
P2_rush_td,1589.0,0.14,0.37,0.0,0.0,0.0,0.0,2.0
D2_pass_cmp,1589.0,19.96,8.92,0.0,16.0,21.0,26.0,44.0
D2_pass_att,1589.0,31.48,13.43,0.0,27.0,34.0,40.0,70.0
D2_pass_yds,1589.0,226.35,104.86,0.0,180.0,240.0,296.0,513.0
D2_pass_td,1589.0,1.41,1.21,0.0,0.0,1.0,2.0,7.0
D2_pass_int,1589.0,0.76,0.94,0.0,0.0,0.0,1.0,5.0
D2_pass_sacked,1589.0,2.14,1.81,0.0,1.0,2.0,3.0,11.0
D2_rush_att,1589.0,23.29,10.71,0.0,18.0,24.0,31.0,54.0
D2_rush_yds,1589.0,98.99,58.77,0.0,62.0,96.0,134.0,323.0
D2_rush_td,1589.0,0.74,0.91,0.0,0.0,1.0,1.0,6.0
O2_rush_att,1589.0,23.66,10.8,0.0,19.0,25.0,31.0,54.0
O2_rush_yds,1589.0,101.39,60.2,0.0,65.0,99.0,137.0,323.0
O2_rush_td,1589.0,0.77,0.91,0.0,0.0,1.0,1.0,6.0
P3_pass_cmp,1589.0,17.55,10.49,0.0,12.0,20.0,25.0,45.0
P3_pass_att,1589.0,27.26,15.91,0.0,21.0,31.0,38.0,68.0
P3_pass_yds,1589.0,200.53,122.58,0.0,134.0,225.0,288.0,517.0
P3_pass_td,1589.0,1.32,1.26,0.0,0.0,1.0,2.0,6.0
P3_pass_int,1589.0,0.57,0.83,0.0,0.0,0.0,1.0,5.0
P3_pass_sacked,1589.0,1.76,1.77,0.0,0.0,1.0,3.0,11.0
P3_rush_att,1589.0,2.72,2.88,0.0,0.0,2.0,4.0,26.0
P3_rush_yds,1589.0,12.3,19.31,-12.0,0.0,4.0,18.0,152.0
P3_rush_td,1589.0,0.14,0.37,0.0,0.0,0.0,0.0,2.0
D3_pass_cmp,1589.0,19.96,9.03,0.0,16.0,21.0,26.0,43.0
D3_pass_att,1589.0,31.34,13.65,0.0,27.0,34.0,40.0,70.0
D3_pass_yds,1589.0,226.22,106.04,0.0,181.0,240.0,296.0,513.0
D3_pass_td,1589.0,1.43,1.21,0.0,0.0,1.0,2.0,6.0
D3_pass_int,1589.0,0.72,0.93,0.0,0.0,0.0,1.0,5.0
D3_pass_sacked,1589.0,2.15,1.83,0.0,1.0,2.0,3.0,11.0
D3_rush_att,1589.0,23.03,10.75,0.0,18.0,24.0,30.0,54.0
D3_rush_yds,1589.0,98.07,59.19,0.0,60.0,96.0,134.0,323.0
D3_rush_td,1589.0,0.74,0.91,0.0,0.0,0.0,1.0,6.0
O3_rush_att,1589.0,23.49,10.94,0.0,18.0,25.0,31.0,53.0
O3_rush_yds,1589.0,100.74,61.04,0.0,62.0,98.0,137.0,323.0
O3_rush_td,1589.0,0.75,0.91,0.0,0.0,1.0,1.0,6.0
P4_pass_cmp,1589.0,17.63,10.44,0.0,13.0,20.0,25.0,45.0
P4_pass_att,1589.0,27.27,15.79,0.0,21.0,31.0,38.0,68.0
P4_pass_yds,1589.0,202.84,123.21,0.0,138.0,228.0,291.0,517.0
P4_pass_td,1589.0,1.34,1.28,0.0,0.0,1.0,2.0,7.0
P4_pass_int,1589.0,0.58,0.86,0.0,0.0,0.0,1.0,6.0
P4_pass_sacked,1589.0,1.74,1.74,0.0,0.0,1.0,3.0,11.0
P4_rush_att,1589.0,2.69,2.82,0.0,0.0,2.0,4.0,26.0
P4_rush_yds,1589.0,11.83,18.5,-12.0,0.0,4.0,17.0,152.0
P4_rush_td,1589.0,0.14,0.37,0.0,0.0,0.0,0.0,2.0
D4_pass_cmp,1589.0,20.21,8.88,0.0,17.0,21.0,26.0,45.0
D4_pass_att,1589.0,31.74,13.37,0.0,27.0,34.0,40.0,68.0
D4_pass_yds,1589.0,229.28,105.75,0.0,182.0,241.0,299.0,517.0
D4_pass_td,1589.0,1.45,1.23,0.0,0.0,1.0,2.0,7.0
D4_pass_int,1589.0,0.74,0.95,0.0,0.0,0.0,1.0,6.0
D4_pass_sacked,1589.0,2.17,1.81,0.0,1.0,2.0,3.0,10.0
D4_rush_att,1589.0,23.06,10.5,0.0,18.0,24.0,31.0,48.0
D4_rush_yds,1589.0,97.16,57.55,0.0,60.0,95.0,130.0,323.0
D4_rush_td,1589.0,0.73,0.9,0.0,0.0,0.0,1.0,5.0
O4_rush_att,1589.0,23.74,10.79,0.0,19.0,25.0,31.0,54.0
O4_rush_yds,1589.0,101.0,60.02,0.0,64.0,98.0,137.0,323.0
O4_rush_td,1589.0,0.79,0.93,0.0,0.0,1.0,1.0,6.0
P5_pass_cmp,1588.0,17.72,10.4,0.0,13.0,20.0,25.0,43.0
P5_pass_att,1588.0,27.43,15.78,0.0,21.0,31.0,38.0,65.0
P5_pass_yds,1588.0,203.91,122.8,0.0,140.75,230.0,290.25,513.0
P5_pass_td,1588.0,1.34,1.28,0.0,0.0,1.0,2.0,7.0
P5_pass_int,1588.0,0.59,0.88,0.0,0.0,0.0,1.0,6.0
P5_pass_sacked,1588.0,1.78,1.76,0.0,0.0,1.0,3.0,11.0
P5_rush_att,1588.0,2.65,2.78,0.0,0.0,2.0,4.0,26.0
P5_rush_yds,1588.0,11.73,18.27,-7.0,0.0,4.0,17.0,152.0
P5_rush_td,1588.0,0.13,0.37,0.0,0.0,0.0,0.0,2.0
D5_pass_cmp,1589.0,20.43,8.77,0.0,17.0,22.0,26.0,45.0
D5_pass_att,1589.0,31.99,13.25,0.0,27.0,34.0,40.0,70.0
D5_pass_yds,1589.0,231.72,104.52,0.0,183.0,243.0,301.0,517.0
D5_pass_td,1589.0,1.46,1.21,0.0,0.0,1.0,2.0,7.0
D5_pass_int,1589.0,0.75,0.96,0.0,0.0,0.0,1.0,6.0
D5_pass_sacked,1589.0,2.16,1.8,0.0,1.0,2.0,3.0,11.0
D5_rush_att,1589.0,23.29,10.53,0.0,18.0,24.0,31.0,54.0
D5_rush_yds,1589.0,98.59,58.18,0.0,60.0,96.0,134.0,313.0
D5_rush_td,1589.0,0.75,0.9,0.0,0.0,1.0,1.0,6.0
O5_rush_att,1589.0,23.74,10.61,0.0,19.0,25.0,31.0,54.0
O5_rush_yds,1589.0,100.87,59.19,0.0,63.0,99.0,136.0,313.0
O5_rush_td,1589.0,0.79,0.93,0.0,0.0,1.0,1.0,6.0
P6_pass_cmp,1588.0,17.92,10.41,0.0,13.0,20.0,25.0,45.0
P6_pass_att,1588.0,27.7,15.77,0.0,21.0,32.0,38.0,68.0
P6_pass_yds,1588.0,206.2,122.85,0.0,140.0,231.0,294.0,517.0
P6_pass_td,1588.0,1.35,1.27,0.0,0.0,1.0,2.0,7.0
P6_pass_int,1588.0,0.58,0.84,0.0,0.0,0.0,1.0,6.0
P6_pass_sacked,1588.0,1.78,1.74,0.0,0.0,1.0,3.0,11.0
P6_rush_att,1588.0,2.66,2.77,0.0,0.0,2.0,4.0,19.0
P6_rush_yds,1588.0,11.63,17.57,-12.0,0.0,4.0,17.0,152.0
